pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01007781,862,405,457,36,56,56,130,130,260,162,32
S01007782,630,325,305,44,90,68,101,132,124,56,15
S01007783,788,357,431,44,80,53,99,123,192,120,77
S01007784,633,315,318,33,53,56,114,88,194,78,17
S01007785,582,254,328,52,66,34,107,76,135,70,42
S01007786,751,339,412,41,59,47,116,106,167,155,60
S01007787,649,288,361,38,59,57,89,89,151,121,45
S01007788,706,317,389,59,100,86,105,117,162,59,18
S01007789,575,269,306,30,48,54,101,87,191,57,7
S01007790,786,338,448,59,86,85,169,84,221,70,12
S01007791,575,291,284,26,45,28,56,104,163,92,61
S01007792,894,396,498,53,86,67,125,156,171,177,59
S01007793,872,418,454,45,107,50,143,113,177,156,81
S01007794,570,281,289,28,65,38,55,111,122,107,44
S01007795,749,327,422,84,104,75,112,110,117,108,39
S01007796,829,387,442,46,103,96,108,120,222,87,47
S01007797,601,297,304,49,95,51,93,93,114,75,31
S01007798,696,357,339,39,74,80,69,147,214,56,17
S01007799,606,310,296,27,63,75,93,87,205,49,7
S01007800,950,403,547,64,114,88,131,149,190,120,94
S01007801,921,444,477,52,112,84,169,122,192,135,55
S01007802,517,244,273,41,46,40,86,84,158,54,8
S01007803,1030,441,589,59,119,89,177,142,248,147,49
S01007804,672,295,377,47,82,80,114,104,150,69,26
S01007805,492,237,255,38,64,52,80,99,96,52,11
S01007806,655,317,338,42,87,28,107,126,113,108,44
S01007807,753,374,379,28,76,60,100,127,215,114,33
S01007808,766,375,391,64,83,72,102,120,194,102,29
S01007809,908,437,471,36,59,49,103,113,228,211,109
S01007810,861,414,447,59,79,76,130,99,207,145,66
S01007811,1044,440,604,104,132,105,123,199,213,133,35
S01007812,853,414,439,84,100,89,124,141,210,83,22
S01007813,800,379,421,42,106,94,106,113,173,115,51
S01007814,539,274,265,18,42,38,85,75,137,100,44
S01007815,849,387,462,22,36,30,105,73,213,196,174
S01007816,582,282,300,21,27,32,78,80,130,147,67
S01007817,461,194,267,30,43,29,52,54,105,87,61
S01007818,705,330,375,37,56,47,105,112,186,118,44
S01007819,853,416,437,43,52,65,89,139,226,140,99
S01007820,926,417,509,39,79,72,130,129,228,160,89
S01007821,527,258,269,22,44,25,66,69,122,111,68
S01007822,716,344,372,20,25,39,96,73,182,189,92
S01007823,724,353,371,25,48,37,92,119,173,154,76
S01007824,724,339,385,36,30,35,87,85,174,164,113
S01007825,937,450,487,29,43,38,129,101,255,227,115
S01007826,685,312,373,45,57,50,96,107,165,91,74
S01007827,613,292,321,23,41,40,119,112,163,91,24
S01007828,892,413,479,32,29,18,148,152,188,172,153
S01007829,533,243,290,16,14,10,62,80,133,124,94
S01007830,876,441,435,52,40,27,150,145,212,163,87
S01007831,980,477,503,48,68,61,164,163,226,172,78
S01007832,594,280,314,26,26,19,112,110,140,108,53
S01007833,795,371,424,24,40,43,84,81,158,222,143
S01007834,768,371,397,67,46,49,174,162,146,85,39
S01007835,659,305,354,34,34,27,94,89,148,149,84
S01007836,560,255,305,25,31,21,57,83,135,130,78
S01007837,753,359,394,20,42,37,80,84,178,198,114
S01007838,1073,504,569,90,70,64,115,174,253,192,115
S01007839,672,334,338,38,65,31,83,109,163,67,116
S01007840,712,343,369,30,56,45,112,143,184,85,57
S01007841,665,303,362,46,51,41,140,140,119,72,56
S01007842,772,399,373,51,78,65,138,142,183,73,42
S01007843,760,361,399,48,74,45,146,141,183,82,41
S01007844,825,412,413,51,41,44,169,153,206,118,43
S01007845,929,408,521,62,93,78,135,174,199,136,52
S01007846,754,365,389,50,85,40,116,155,144,119,45
S01007847,874,395,479,68,96,68,109,139,194,142,58
S01007848,802,356,446,49,58,52,151,122,219,106,45
S01007849,891,415,476,72,97,68,159,152,218,86,39
S01007850,727,336,391,38,88,61,96,85,182,119,58
S01007851,974,451,523,40,60,45,124,121,228,206,150
S01007852,692,350,342,52,52,47,140,118,170,82,31
S01007853,694,344,350,59,39,25,138,106,138,116,73
S01007854,1055,525,530,69,118,82,162,179,251,134,60
S01007855,525,269,256,21,32,28,100,79,145,75,45
S01007856,897,403,494,65,91,83,132,121,198,147,60
S01007857,502,216,286,21,48,42,71,90,130,70,30
S01007858,1048,464,584,37,73,64,110,133,284,228,119
S01007859,632,307,325,36,63,68,81,82,170,91,41
S01007860,633,294,339,43,61,75,76,109,211,42,16
S01007861,643,316,327,38,74,44,94,96,135,119,43
S01007862,721,333,388,40,70,55,82,136,152,125,61
S01007863,878,413,465,78,109,65,128,140,190,121,47
S01007864,968,452,516,67,85,52,171,177,208,123,85
S01007865,945,458,487,60,116,86,101,175,320,73,14
S01007866,529,258,271,25,42,51,50,77,185,85,14
S01007867,1237,598,639,113,100,70,214,271,291,105,73
S01007868,798,363,435,21,51,48,77,71,207,248,75
S01007869,1012,464,548,59,88,45,135,143,249,161,132
S01011956,948,466,482,49,68,93,107,89,277,188,77
S01011957,962,550,412,24,57,40,186,147,284,145,79
S01011958,1228,605,623,46,93,78,115,151,304,313,128
S01011960,1064,537,527,91,124,78,95,178,274,174,50
S01011961,794,364,430,54,104,54,84,132,197,128,41
S01011962,734,370,364,40,65,61,47,83,255,123,60
S01011963,661,320,341,37,91,56,62,85,177,99,54
S01011964,996,513,483,46,56,60,122,106,295,202,109
S01011965,796,371,425,25,49,33,90,83,216,177,123
S01011966,838,387,451,35,62,58,93,68,251,160,111
S01011967,1147,640,507,37,74,78,89,123,420,232,94
S01011968,953,452,501,38,87,35,133,159,226,163,112
