ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00093322,121,121,0,0,0,0,0,0,0,0,0,121,0,0,0,0
S00093323,131,127,0,0,0,0,0,4,0,0,0,127,0,4,0,0
S00093324,109,107,0,0,0,1,0,1,0,0,0,107,0,2,0,0
S00093325,94,92,0,0,0,0,1,0,0,0,1,92,0,1,0,1
S00093326,115,115,0,0,0,0,0,0,0,0,0,115,0,0,0,0
S00093327,106,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0
S00093328,132,132,0,0,0,0,0,0,0,0,0,132,0,0,0,0
S00093329,125,122,0,1,1,0,0,0,0,0,1,122,0,1,1,1
S00093330,111,107,0,0,0,0,0,4,0,0,0,107,0,4,0,0
S00093331,93,93,0,0,0,0,0,0,0,0,0,93,0,0,0,0
S00093332,156,155,0,0,0,0,0,0,0,1,0,155,1,0,0,0
S00093333,125,125,0,0,0,0,0,0,0,0,0,125,0,0,0,0
S00093334,221,216,0,0,0,0,0,5,0,0,0,216,0,5,0,0
S00093335,164,163,1,0,0,0,0,0,0,0,0,164,0,0,0,0
S00093336,121,117,0,0,0,0,0,2,0,2,0,117,2,2,0,0
S00093337,98,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0
S00093338,77,77,0,0,0,0,0,0,0,0,0,77,0,0,0,0
S00093339,152,149,1,0,0,2,0,0,0,0,0,150,0,2,0,0
S00093340,80,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0
S00093341,59,59,0,0,0,0,0,0,0,0,0,59,0,0,0,0
S00093342,157,153,0,0,0,3,0,0,0,0,1,153,0,3,0,1
S00093343,65,65,0,0,0,0,0,0,0,0,0,65,0,0,0,0
S00093344,158,158,0,0,0,0,0,0,0,0,0,158,0,0,0,0
S00093345,104,104,0,0,0,0,0,0,0,0,0,104,0,0,0,0
S00093346,94,89,0,0,0,0,0,5,0,0,0,89,0,5,0,0
S00093347,58,58,0,0,0,0,0,0,0,0,0,58,0,0,0,0
S00093348,73,73,0,0,0,0,0,0,0,0,0,73,0,0,0,0
S00093349,158,157,0,0,0,0,0,0,1,0,0,157,0,1,0,0
S00093350,121,121,0,0,0,0,0,0,0,0,0,121,0,0,0,0
S00093351,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0
S00093352,84,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0
S00093353,121,121,0,0,0,0,0,0,0,0,0,121,0,0,0,0
S00093354,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0
