health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00095442,176,81,49,42,3,1
S00095443,156,99,39,12,6,0
S00095444,84,46,24,11,3,0
S00095445,92,45,35,6,5,1
S00095446,100,57,26,16,1,0
S00095447,55,28,24,3,0,0
S00095448,134,91,32,8,2,1
S00095449,130,57,39,28,6,0
S00095450,66,39,18,6,3,0
S00095451,84,31,29,15,5,4
S00095452,97,56,23,16,0,2
S00095453,56,26,19,7,3,1
S00095454,53,21,17,11,4,0
S00095455,71,30,34,5,1,1
S00095456,135,77,44,9,3,2
S00095457,113,71,36,4,2,0
S00095458,85,58,20,7,0,0
S00095459,153,87,52,9,4,1
S00095460,74,37,29,7,1,0
S00095461,128,77,34,11,5,1
S00095462,118,62,29,16,6,5
S00095463,147,73,52,11,9,2
S00095464,128,57,47,20,4,0
S00095465,83,33,26,13,7,4
S00095466,156,90,53,12,1,0
S00095467,170,87,61,18,2,2
S00095468,145,84,46,13,2,0
S00095469,74,37,29,6,2,0
S00095470,91,45,20,19,7,0
S00095471,120,64,38,11,6,1
S00095472,82,39,37,4,2,0
S00095473,165,101,43,18,2,1
S00095474,56,36,15,4,1,0
S00095475,88,50,30,6,2,0
S00095476,109,70,27,12,0,0
S00095477,106,63,31,8,2,2
S00095478,148,62,47,28,10,1
S00095479,115,62,36,12,4,1
S00095480,107,65,31,11,0,0
S00095481,127,38,59,21,8,1
S00095482,137,63,49,16,6,3
S00095483,114,63,36,11,4,0
S00095484,133,83,36,13,0,1
S00095485,83,39,30,11,2,1
S00095486,115,60,39,14,2,0
S00095487,147,67,57,20,3,0
S00095488,125,57,57,9,2,0
S00095489,157,76,63,14,4,0
S00095490,118,58,39,16,3,2
S00095491,147,82,50,10,2,3
S00095492,126,53,43,23,7,0
S00095493,101,41,28,22,8,2
S00095494,153,63,60,23,6,1
S00095495,82,29,23,20,8,2
S00095496,199,108,66,20,5,0
S00095497,209,131,56,15,6,1
S00095498,63,28,28,4,0,3
S00095499,92,36,26,20,7,3
S00095500,114,29,61,18,6,0
S00095501,67,34,20,6,4,3
S00095502,99,43,47,9,0,0
S00095503,79,29,29,15,6,0
S00095504,90,41,23,21,5,0
S00095505,108,63,27,14,3,1
S00095506,125,70,34,18,3,0
S00095507,130,80,30,16,2,2
S00095508,183,112,44,22,4,1
S00095509,96,55,25,8,7,1
S00095510,114,52,30,20,9,3
S00095511,174,91,52,21,7,3
S00095512,97,45,33,11,6,2
S00095513,84,43,29,6,5,1
S00095514,125,67,38,14,5,1
S00095515,93,49,38,4,2,0
S00095516,150,91,44,11,2,2
S00095517,138,90,39,8,1,0
S00095518,141,59,51,21,8,2
S00095519,95,45,31,15,3,1
S00095520,144,86,43,11,4,0
S00095521,141,90,38,12,1,0
S00095522,64,13,21,17,10,3
S00095523,114,56,38,16,2,2
S00095524,144,84,35,24,1,0
S00095525,131,80,41,10,0,0
S00095526,197,134,46,13,3,1
S00095527,128,69,37,16,4,2
S00095528,107,43,33,19,8,4
S00095529,50,7,15,24,2,2
S00095530,141,76,52,13,0,0
S00095531,118,43,42,26,5,2
S00095532,111,56,41,14,0,0
S00095533,97,42,38,15,2,0
S00095534,96,51,31,10,3,1
S00095535,149,68,43,29,7,2
S00095536,88,42,28,15,3,0
S00095537,94,57,22,11,4,0
S00095538,105,37,38,22,6,2
S00095539,138,67,48,20,3,0
S00095540,57,33,21,3,0,0
S00095541,67,43,18,3,2,1
S00095542,110,52,41,13,2,2
S00095543,156,76,64,14,2,0
S00095544,102,50,40,9,3,0
S00095545,127,74,36,15,2,0
S00095546,156,75,55,15,7,4
S00095547,163,94,42,23,3,1
S00095548,68,32,27,7,2,0
S00095549,124,65,29,19,10,1
S00095550,149,68,61,16,4,0
S00095551,135,62,51,16,4,2
S00095552,123,73,33,11,3,3
S00095553,87,29,39,13,5,1
S00095554,118,56,40,14,7,1
S00095555,87,49,27,6,3,2
S00095556,125,55,40,23,5,2
S00095557,121,55,35,20,10,1
S00095558,80,44,26,6,0,4
S00095559,100,52,31,14,2,1
S00095560,109,51,38,14,6,0
S00095561,53,20,20,9,2,2
S00095562,81,28,30,13,10,0
S00095563,132,67,35,19,9,2
S00095564,181,96,59,23,1,2
S00095565,184,107,40,21,11,5
S00095566,179,83,67,18,8,3
S00095567,151,69,53,16,8,5
S00095568,145,72,51,18,4,0
S00095569,136,56,52,22,3,3
S00095570,117,52,46,16,3,0
S00095571,108,46,37,18,6,1
S00095572,121,47,48,18,8,0
S00095573,86,38,24,16,7,1
S00095574,94,40,30,13,8,3
S00095575,111,56,42,10,2,1
S00095576,102,41,33,19,6,3
S00095577,88,19,27,26,12,4
S00095578,91,21,31,31,8,0
S00095579,106,63,29,9,4,1
S00095580,106,54,30,15,2,5
S00095581,122,63,43,15,1,0
S00095582,68,28,19,15,6,0
S00095583,132,64,41,17,10,0
S00095584,83,37,30,9,5,2
S00095585,147,74,43,19,10,1
S00095586,193,109,53,22,7,2
S00095587,86,46,23,10,7,0
S00095588,76,34,33,7,2,0
S00095589,129,52,42,23,11,1
S00095590,87,31,28,16,10,2
S00095591,87,47,22,15,3,0
S00095592,101,50,33,16,1,1
S00095593,144,105,33,5,1,0
S00095594,84,53,20,9,2,0
S00095595,123,89,29,4,1,0
S00095596,105,74,26,4,1,0
S00095597,90,44,30,13,2,1
S00095598,85,40,22,18,3,2
S00095599,107,46,37,13,11,0
S00095600,106,52,38,10,6,0
S00095601,76,16,38,13,7,2
S00095602,133,68,40,18,7,0
S00095603,98,49,30,13,6,0
S00095604,116,76,29,10,1,0
S00095605,133,87,35,7,3,1
S00095606,69,45,18,5,1,0
S00095607,99,56,33,6,1,3
