rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00000808,243,56,93,22,0,26,5,20,21
N00000809,557,237,188,45,2,28,3,32,22
N00000810,434,179,138,41,3,20,4,29,20
N00000811,345,99,144,34,0,22,1,17,28
N00000812,299,116,129,21,0,5,3,14,11
N00000813,491,102,156,102,5,45,0,47,34
N00000814,258,33,68,103,10,18,1,13,12
N00000815,487,91,192,90,7,32,1,62,12
N00000816,558,127,133,154,25,35,2,53,29
N00000817,256,57,64,66,6,10,2,41,10
N00000818,324,66,99,93,6,29,1,23,7
N00000819,253,77,61,46,3,15,6,24,21
N00000820,375,92,95,80,8,40,1,41,18
N00000821,269,89,66,36,11,22,1,31,13
N00000822,209,85,23,47,4,9,1,21,19
N00000823,365,124,89,65,10,25,0,38,14
N00000824,253,86,42,62,3,16,5,29,10
N00000855,169,39,46,14,10,16,3,26,15
N00000856,182,28,33,21,9,30,3,51,7
N00000857,386,39,122,74,32,35,2,53,29
N00000858,239,34,52,28,6,10,8,67,34
N00000859,287,69,61,34,20,21,3,68,11
N00000860,437,69,70,96,27,45,1,108,21
N00000861,303,51,73,43,14,29,10,76,7
N00000862,876,125,195,118,47,112,18,215,46
N00000863,294,19,107,61,17,23,1,56,10
N00000864,305,32,52,46,19,34,13,89,20
N00000865,358,60,58,80,6,39,9,95,11
N00000866,342,47,72,49,10,34,4,107,19
N00000867,288,44,57,46,11,27,8,64,31
N00000868,297,39,52,57,13,38,6,75,17
N00000869,186,15,49,22,15,30,3,30,22
N00000870,394,16,119,58,23,36,4,117,21
N00000871,340,11,87,84,9,49,2,71,27
N00000872,256,18,64,53,21,25,0,53,22
N00000873,322,288,0,3,0,3,0,7,21
N00000874,533,283,29,25,2,19,36,50,89
N00000875,284,211,18,6,4,0,0,10,35
N00000876,212,132,25,23,4,4,0,8,16
N00000877,357,28,89,86,32,26,1,54,41
N00000878,234,65,63,36,14,13,0,18,25
N00000879,1015,821,26,14,8,19,5,25,97
N00000880,315,233,30,11,9,2,1,22,7
N00000881,296,22,83,75,24,18,4,35,35
N00000882,253,4,71,63,16,9,2,54,34
N00000883,264,13,69,67,14,19,1,36,45
N00000884,205,6,57,50,19,16,0,27,30
N00000885,618,48,114,135,46,28,13,121,113
N00000886,253,130,12,10,10,8,9,42,32
N00000887,308,186,12,16,4,5,7,51,27
N00000888,308,183,17,19,5,7,6,42,29
N00000889,259,174,8,6,1,9,6,46,9
N00000890,339,153,21,21,4,10,3,103,24
N00000891,346,161,21,26,0,6,5,106,21
