health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
N00001002,796,326,277,131,54,8
N00001003,218,93,79,34,10,2
N00001004,303,109,131,47,10,6
N00001005,258,88,92,50,27,1
N00001061,341,136,104,86,14,1
N00001062,354,140,100,90,21,3
N00001063,306,159,97,44,5,1
N00001064,632,362,182,75,13,0
N00001065,326,176,111,36,2,1
N00001066,275,134,93,41,6,1
N00001067,278,129,100,42,5,2
N00001068,336,165,107,49,10,5
N00001069,327,187,108,27,4,1
N00001070,518,292,162,52,12,0
N00001071,318,164,114,29,9,2
N00001072,320,146,93,68,10,3
N00001073,283,100,91,58,29,5
N00001074,240,111,84,34,10,1
N00001075,308,134,81,73,15,5
N00001076,272,126,72,49,18,7
N00001077,229,76,72,57,19,5
N00001078,257,119,99,31,8,0
N00001174,343,217,94,27,2,3
N00001263,289,133,86,48,18,4
N00001264,204,91,79,24,9,1
N00001265,971,440,312,143,56,20
N00001266,188,57,56,44,27,4
N00001267,322,93,100,71,47,11
N00001268,283,67,95,70,39,12
N00001269,522,220,202,72,22,6
N00001270,278,96,90,62,26,4
N00001271,1514,756,465,200,73,20
N00001272,222,80,100,35,6,1
N00001273,221,103,65,41,11,1
N00001274,238,65,96,60,13,4
N00001275,210,73,63,42,28,4
N00001276,218,81,74,35,24,4
N00001277,266,141,86,30,9,0
N00001278,291,158,95,26,11,1
N00001279,168,39,73,34,15,7
N00001280,213,61,64,59,25,4
N00001281,334,179,98,47,10,0
N00001282,330,179,103,37,8,3
N00001283,338,205,100,29,4,0
N00001284,352,175,110,55,9,3
N00001285,331,159,108,50,13,1
N00001286,348,163,113,59,10,3
N00001287,295,132,102,41,18,2
N00001288,289,117,97,58,13,4
N00001289,288,136,101,42,9,0
N00001290,318,152,111,41,14,0
N00001363,263,127,87,34,13,2
N00001364,539,233,200,84,19,3
N00001365,387,200,121,50,15,1
N00001366,252,116,85,36,12,3
N00001367,353,131,115,78,25,4
N00001368,295,140,95,49,9,2
N00001369,365,140,148,64,11,2
