health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00094261,59,28,22,7,2,0
S00094623,56,26,14,12,4,0
S00094624,122,66,38,15,2,1
S00094749,87,36,37,9,3,2
S00094019,58,39,11,5,3,0
S00094020,128,57,50,18,1,2
S00094021,75,33,34,7,1,0
S00094022,136,62,42,25,6,1
S00094023,90,55,20,10,2,3
S00094633,66,35,20,9,1,1
S00094686,108,41,37,18,11,1
S00094687,110,30,31,30,19,0
S00094688,120,46,46,21,5,2
S00094689,56,14,23,14,2,3
S00094015,125,47,32,27,14,5
S00094016,124,59,39,22,3,1
S00094017,62,28,22,10,2,0
S00094018,157,83,48,19,7,0
S00094631,58,25,21,7,3,2
S00094685,116,48,38,21,8,1
S00094690,72,24,34,5,7,2
S00094024,78,32,32,11,1,2
S00094025,143,74,55,12,2,0
S00094027,141,56,54,24,3,4
S00094028,54,18,27,6,3,0
S00094029,116,59,41,11,3,2
S00094030,145,71,39,26,6,3
S00094031,126,60,45,11,8,2
S00093997,68,29,26,10,3,0
S00094013,163,81,46,23,9,4
S00094014,167,82,52,20,7,6
S00094331,137,63,39,23,9,3
S00094332,110,46,29,20,13,2
S00094683,164,66,61,24,11,2
S00094684,82,24,31,23,3,1
S00094333,162,80,46,21,12,3
S00094334,124,46,51,16,9,2
S00094754,110,50,33,19,7,1
S00094755,83,37,32,11,3,0
S00094756,55,26,16,9,2,2
S00094293,111,72,29,8,2,0
S00094294,80,27,28,20,4,1
S00094295,163,79,58,19,6,1
S00094296,89,52,26,8,2,1
S00094297,81,31,27,16,4,3
S00094298,80,34,25,14,3,4
S00094299,166,88,51,22,4,1
S00094330,65,24,21,16,2,2
S00094632,60,28,21,10,1,0
S00094750,74,41,22,8,1,2
S00094751,74,32,20,13,6,3
S00094301,151,69,50,25,5,2
S00094326,65,34,21,8,2,0
S00094328,197,117,55,14,7,4
S00094329,176,53,52,59,8,4
S00094752,84,39,36,8,1,0
S00094753,114,58,22,29,5,0
S00094308,133,51,52,21,6,3
S00094309,105,38,30,30,5,2
S00094314,101,41,23,22,11,4
S00094323,147,72,49,20,6,0
S00094324,90,44,27,14,5,0
S00094327,111,49,37,19,4,2
S00094315,141,82,29,16,12,2
S00094316,114,56,39,11,7,1
S00094317,91,40,32,12,7,0
S00094318,103,41,34,21,5,2
S00094320,155,69,48,24,9,5
S00094321,90,30,30,23,4,3
S00094322,88,38,29,10,11,0
S00094325,115,64,30,15,4,2
S00094012,102,53,31,15,3,0
S00094285,120,61,35,18,4,2
S00094300,94,53,26,12,3,0
S00094319,82,36,28,12,5,1
S00094630,80,42,20,10,8,0
S00094305,67,27,15,19,6,0
S00094306,58,15,15,15,8,5
S00094307,80,26,25,15,10,4
S00094311,101,55,27,12,4,3
S00094312,82,22,17,25,12,6
S00094313,77,33,20,16,6,2
S00094284,129,78,25,18,5,3
S00094302,84,26,29,16,8,5
S00094303,113,45,42,20,4,2
S00094304,86,33,30,18,4,1
S00094310,85,21,45,11,3,5
S00094628,65,25,19,16,3,2
S00094287,114,70,27,14,3,0
S00094288,127,62,38,17,10,0
S00094289,88,37,24,20,4,3
S00094292,113,57,37,9,8,2
S00094629,99,48,24,12,13,2
S00094280,131,83,32,13,3,0
S00094281,132,67,35,24,4,2
S00094282,114,58,36,13,5,2
S00094283,93,48,20,13,10,2
S00094286,148,65,54,18,10,1
S00094290,111,55,33,19,4,0
S00094291,57,32,16,8,1,0
S00094270,98,43,40,13,1,1
S00094271,91,39,28,16,7,1
S00094273,64,29,16,13,6,0
S00094274,69,19,28,15,5,2
S00094275,86,45,27,13,0,1
S00094276,66,34,18,11,2,1
S00094277,68,34,24,8,1,1
S00094278,111,54,37,10,7,3
S00094627,87,43,24,16,4,0
S00094265,127,74,36,9,7,1
S00094267,105,53,34,14,2,2
S00094268,99,54,23,18,2,2
S00094269,110,64,28,9,5,4
S00094279,158,77,55,20,5,1
S00094626,117,62,34,11,9,1
S00094011,149,65,51,23,7,3
S00094262,246,88,87,48,19,4
S00094263,110,55,37,12,4,2
S00094264,82,36,31,10,4,1
S00094266,155,73,58,19,2,3
S00094272,82,40,29,10,3,0
S00094625,77,34,23,16,3,1
S00135056,136,88,25,19,4,0
S00135057,95,45,32,14,3,1
S00135062,157,99,40,11,4,3
S00135257,90,55,20,13,2,0
S00135263,143,76,39,24,3,1
S00135054,124,73,43,3,3,2
S00135055,96,59,27,10,0,0
S00135058,137,73,38,20,4,2
S00135059,120,68,34,12,5,1
S00135060,108,65,28,13,0,2
S00135061,58,19,29,8,1,1
S00135063,143,81,39,18,3,2
S00135064,83,34,29,16,4,0
S00135065,111,63,31,15,2,0
S00135066,106,55,36,11,3,1
S00135067,87,59,20,6,1,1
S00135068,54,20,11,15,5,3
S00135070,147,90,36,14,4,3
S00135255,119,53,36,25,4,1
S00135266,160,84,48,23,3,2
S00135267,69,43,15,6,5,0
S00135268,73,36,26,9,1,1
S00135069,99,53,25,19,2,0
S00135071,96,55,22,16,2,1
S00135072,93,48,30,11,3,1
S00135073,69,34,20,12,2,1
S00135074,66,27,31,5,3,0
