ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00094739,132,132,0,0,0,0,0,0,0,0,0,132,0,0,0,0
S00093999,104,104,0,0,0,0,0,0,0,0,0,104,0,0,0,0
S00094000,72,70,0,0,0,0,0,2,0,0,0,70,0,2,0,0
S00094001,50,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0
S00094002,55,54,0,1,0,0,0,0,0,0,0,54,0,0,1,0
S00094003,64,64,0,0,0,0,0,0,0,0,0,64,0,0,0,0
S00094004,87,86,0,0,0,0,0,0,0,1,0,86,1,0,0,0
S00094005,96,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0
S00094006,130,129,0,0,1,0,0,0,0,0,0,129,0,1,0,0
S00094007,119,118,0,0,0,0,0,1,0,0,0,118,0,1,0,0
S00094008,177,176,1,0,0,0,0,0,0,0,0,177,0,0,0,0
S00094009,59,59,0,0,0,0,0,0,0,0,0,59,0,0,0,0
S00094010,51,46,3,1,0,0,0,0,0,0,1,49,0,0,1,1
S00094026,92,91,0,0,0,0,0,0,1,0,0,91,0,1,0,0
S00094255,128,125,0,2,0,0,0,0,1,0,0,125,0,1,2,0
S00094260,87,86,0,0,0,0,0,0,0,1,0,86,1,0,0,0
S00094612,78,77,0,0,0,0,0,1,0,0,0,77,0,1,0,0
S00094614,76,76,0,0,0,0,0,0,0,0,0,76,0,0,0,0
S00094615,155,155,0,0,0,0,0,0,0,0,0,155,0,0,0,0
S00094618,118,116,0,1,0,0,0,0,1,0,0,116,0,1,1,0
S00094256,93,91,0,0,0,0,0,0,2,0,0,91,0,2,0,0
