rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00094177,160,95,9,13,0,0,0,0,0,0,35,8
S00094178,102,50,8,6,0,0,0,0,0,0,28,10
S00094179,75,48,2,0,1,0,0,0,0,0,15,9
S00094180,165,68,12,8,0,0,0,0,0,1,65,11
S00094183,88,54,3,3,0,0,0,0,0,2,18,8
S00094676,80,48,3,4,0,0,0,0,0,0,19,6
S00094172,198,75,24,4,0,0,0,5,0,0,83,7
S00094173,56,35,4,2,0,0,1,0,0,0,10,4
S00094174,102,43,4,4,0,0,0,0,0,0,43,8
S00094175,143,65,7,8,0,0,0,5,0,0,49,9
S00094181,82,56,1,3,0,0,0,0,0,0,15,7
S00094182,97,53,6,3,0,0,0,0,0,0,29,6
S00094187,72,44,5,5,0,0,0,0,0,0,14,4
S00094184,105,60,3,5,0,0,0,0,0,0,28,9
S00094185,102,34,8,1,0,0,0,0,0,0,45,14
S00094186,90,56,3,4,0,0,0,0,0,0,21,6
S00094188,54,30,0,1,0,0,0,0,0,0,19,4
S00094189,100,58,3,3,0,0,0,0,0,1,25,10
S00094606,168,79,10,6,3,0,0,0,0,0,50,20
S00094678,54,39,4,1,0,0,0,0,0,0,4,6
S00094679,137,81,6,5,0,0,0,0,0,0,30,15
S00094164,106,30,11,4,0,0,0,0,0,1,52,8
S00094165,99,33,6,4,1,0,0,0,0,0,48,7
S00094170,102,52,2,8,0,0,0,2,0,0,26,12
S00094171,77,34,15,3,1,0,0,1,0,0,19,4
S00094735,151,39,11,9,0,0,0,0,0,0,83,9
S00094159,78,45,2,7,1,0,0,0,0,0,20,3
S00094160,71,48,4,1,0,0,0,0,0,0,11,7
S00094161,62,53,1,3,0,0,0,0,0,0,4,1
S00094167,101,54,5,5,0,0,0,0,0,0,31,6
S00094168,129,68,5,2,0,0,0,0,0,0,46,8
S00094169,51,36,1,6,0,0,0,0,0,0,8,0
S00094605,101,52,5,11,0,0,0,2,0,0,30,1
S00094607,65,44,3,2,0,0,0,0,0,0,14,2
S00094156,143,76,5,6,0,0,0,0,0,0,41,15
S00094157,205,109,14,15,0,0,0,0,0,0,58,9
S00094158,157,85,10,6,1,0,0,0,0,1,49,5
S00094190,52,28,2,3,0,0,0,0,0,0,18,1
S00094733,52,38,0,0,0,0,0,0,0,1,10,3
S00094734,143,90,15,3,0,0,0,0,0,0,29,6
S00094032,107,63,8,2,0,0,0,0,0,1,25,8
S00094162,99,71,6,7,1,0,0,0,0,0,13,1
S00094163,161,102,6,12,0,0,0,0,0,0,34,7
S00094166,126,73,12,3,0,0,0,1,0,1,31,5
S00094736,128,64,13,10,0,0,0,0,0,0,26,15
S00094243,60,31,13,1,0,0,0,0,0,0,12,3
S00094244,113,60,17,6,0,0,0,0,0,0,24,6
S00094245,69,32,4,6,0,0,0,0,0,1,19,7
S00094746,89,37,22,7,0,0,0,0,0,1,16,6
S00094747,61,17,9,6,0,0,0,0,0,0,25,4
S00094748,78,32,10,7,0,0,0,0,0,0,21,8
S00094237,136,50,33,7,0,0,0,0,0,1,35,10
S00094238,82,42,6,6,0,0,0,0,0,0,21,7
S00094239,127,64,28,2,0,0,0,0,0,0,33,0
S00094240,105,43,15,8,1,0,0,0,0,1,32,5
S00094241,76,40,6,2,1,0,0,0,0,0,23,4
S00094242,101,60,7,8,0,0,0,0,0,0,22,4
S00094619,113,47,13,5,0,0,0,0,0,1,34,13
S00094217,84,49,5,0,0,0,0,3,0,1,22,4
S00094218,99,31,17,2,0,0,0,0,0,0,41,8
S00094219,108,37,13,5,0,0,0,0,0,0,49,4
S00094220,106,53,11,4,0,0,1,0,0,1,29,7
S00094221,125,53,23,6,0,0,0,0,0,1,37,5
S00094222,113,41,28,9,0,0,0,0,0,0,27,8
S00094610,105,46,15,4,0,0,0,0,0,0,33,7
S00094611,86,37,10,6,0,0,0,0,0,0,26,7
S00093998,136,80,6,4,0,0,0,0,0,0,36,10
S00094566,61,36,7,1,0,0,0,0,1,0,14,2
S00094569,145,62,18,8,0,0,0,5,0,0,46,6
S00094580,135,63,11,4,0,0,0,0,0,0,42,15
S00094798,85,48,8,3,0,0,0,0,0,0,17,9
S00094799,89,46,4,3,0,0,1,0,0,0,26,9
S00094235,120,46,17,5,1,0,0,0,0,0,45,6
S00094236,114,63,14,4,0,0,0,0,0,0,25,8
S00094616,62,23,4,11,0,0,0,0,0,0,21,3
S00094617,51,35,4,2,0,0,0,0,0,0,8,2
S00094742,96,34,19,6,0,3,0,0,0,0,23,11
S00094233,59,18,15,7,0,0,0,0,0,0,12,7
S00094234,214,62,23,18,0,0,0,0,0,0,95,16
S00094740,77,46,11,5,0,0,1,0,0,0,12,2
S00094741,52,4,13,6,0,0,0,0,0,2,20,7
S00094743,120,23,13,5,0,0,0,0,0,0,73,6
S00094745,73,30,18,4,0,0,0,0,0,1,14,6
S00094227,65,19,10,4,1,0,0,0,0,0,27,4
S00094228,94,40,17,8,0,0,0,0,0,0,22,7
S00094229,83,27,16,4,1,0,0,0,0,0,30,5
S00094230,88,27,17,6,0,0,0,0,0,1,33,4
S00094231,82,37,8,5,0,0,0,0,0,0,20,12
S00094232,54,15,15,2,2,0,0,0,0,0,13,7
S00094744,77,34,9,2,0,0,0,1,0,0,20,11
S00094223,126,49,17,6,0,0,0,0,0,3,36,15
S00094224,90,49,11,9,0,0,0,0,0,0,18,3
