ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00121077,80,79,0,1,0,0,0,0,0,0,0,79,0,0,1,0
S00121078,133,131,0,1,0,0,0,0,1,0,0,131,0,1,1,0
S00121079,143,140,0,1,0,0,0,2,0,0,0,140,0,2,1,0
S00121080,133,118,0,0,0,5,1,5,4,0,0,118,0,15,0,0
S00121081,172,162,0,0,4,6,0,0,0,0,0,162,0,10,0,0
S00121082,92,90,0,2,0,0,0,0,0,0,0,90,0,0,2,0
S00121083,124,124,0,0,0,0,0,0,0,0,0,124,0,0,0,0
S00121084,112,112,0,0,0,0,0,0,0,0,0,112,0,0,0,0
S00121085,80,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0
S00121086,106,105,0,1,0,0,0,0,0,0,0,105,0,0,1,0
S00121087,197,194,0,1,0,0,0,0,0,0,2,194,0,0,1,2
S00121088,175,175,0,0,0,0,0,0,0,0,0,175,0,0,0,0
S00121089,82,81,0,0,0,0,0,0,1,0,0,81,0,1,0,0
S00121090,117,117,0,0,0,0,0,0,0,0,0,117,0,0,0,0
S00121091,152,150,1,1,0,0,0,0,0,0,0,151,0,0,1,0
S00121092,111,110,0,0,1,0,0,0,0,0,0,110,0,1,0,0
S00121093,101,101,0,0,0,0,0,0,0,0,0,101,0,0,0,0
S00121094,105,99,0,2,0,0,0,3,0,1,0,99,1,3,2,0
S00121095,130,130,0,0,0,0,0,0,0,0,0,130,0,0,0,0
S00121096,94,94,0,0,0,0,0,0,0,0,0,94,0,0,0,0
S00121097,136,136,0,0,0,0,0,0,0,0,0,136,0,0,0,0
S00121098,122,122,0,0,0,0,0,0,0,0,0,122,0,0,0,0
S00121099,61,61,0,0,0,0,0,0,0,0,0,61,0,0,0,0
S00121100,117,117,0,0,0,0,0,0,0,0,0,117,0,0,0,0
S00121101,57,57,0,0,0,0,0,0,0,0,0,57,0,0,0,0
S00121102,112,112,0,0,0,0,0,0,0,0,0,112,0,0,0,0
S00121103,159,159,0,0,0,0,0,0,0,0,0,159,0,0,0,0
S00121104,77,77,0,0,0,0,0,0,0,0,0,77,0,0,0,0
S00121105,112,111,0,1,0,0,0,0,0,0,0,111,0,0,1,0
S00121106,128,124,4,0,0,0,0,0,0,0,0,128,0,0,0,0
S00121107,86,86,0,0,0,0,0,0,0,0,0,86,0,0,0,0
S00121108,153,153,0,0,0,0,0,0,0,0,0,153,0,0,0,0
S00121109,92,91,0,0,0,0,1,0,0,0,0,91,0,1,0,0
S00121110,97,95,2,0,0,0,0,0,0,0,0,97,0,0,0,0
S00121111,110,109,0,0,0,0,0,0,1,0,0,109,0,1,0,0
S00121112,145,145,0,0,0,0,0,0,0,0,0,145,0,0,0,0
S00121113,153,153,0,0,0,0,0,0,0,0,0,153,0,0,0,0
S00121114,138,138,0,0,0,0,0,0,0,0,0,138,0,0,0,0
S00121115,152,148,1,0,0,0,0,3,0,0,0,149,0,3,0,0
S00121116,183,183,0,0,0,0,0,0,0,0,0,183,0,0,0,0
S00121117,147,147,0,0,0,0,0,0,0,0,0,147,0,0,0,0
S00121118,111,110,0,0,0,0,0,0,1,0,0,110,0,1,0,0
S00121119,124,124,0,0,0,0,0,0,0,0,0,124,0,0,0,0
S00121120,108,108,0,0,0,0,0,0,0,0,0,108,0,0,0,0
S00121121,123,123,0,0,0,0,0,0,0,0,0,123,0,0,0,0
S00121122,109,107,0,1,0,0,0,1,0,0,0,107,0,1,1,0
S00121123,154,153,0,1,0,0,0,0,0,0,0,153,0,0,1,0
S00121124,138,138,0,0,0,0,0,0,0,0,0,138,0,0,0,0
S00121125,136,134,0,2,0,0,0,0,0,0,0,134,0,0,2,0
