health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00086589,324,184,108,28,4,0
E00086590,277,142,98,28,6,3
E00086591,389,199,148,29,12,1
E00086592,290,152,102,28,7,1
E00086593,281,127,105,40,6,3
E00086594,194,59,81,44,8,2
E00086596,459,242,168,29,15,5
E00086597,273,142,100,25,6,0
E00086598,316,175,108,30,3,0
E00086599,269,125,107,29,7,1
E00086601,332,195,107,25,4,1
E00086602,313,165,108,34,4,2
E00086603,194,82,68,34,8,2
E00086604,378,194,128,43,11,2
E00086605,262,126,90,32,12,2
E00086606,359,187,102,51,15,4
E00086607,358,183,139,27,8,1
E00086608,311,177,85,33,11,5
E00086609,272,134,101,30,6,1
E00086610,290,125,102,51,10,2
E00086611,573,297,211,48,15,2
E00086612,305,134,116,36,13,6
E00086613,254,93,101,39,12,9
E00086614,196,72,66,37,14,7
E00086615,352,193,109,29,15,6
E00086616,416,180,131,77,18,10
E00086617,284,166,80,26,11,1
E00086618,225,85,63,54,17,6
E00086619,358,168,136,31,17,6
E00086620,247,108,84,46,6,3
E00086621,350,161,126,44,17,2
E00086622,278,121,95,42,17,3
E00086623,332,166,128,31,6,1
E00086624,241,96,84,40,16,5
E00086625,308,132,117,40,16,3
E00086626,306,161,102,34,7,2
E00086627,294,142,104,38,8,2
E00086628,185,112,47,20,3,3
E00086629,371,195,148,22,5,1
E00086630,350,183,112,38,16,1
E00086631,272,146,100,20,5,1
E00086632,353,165,143,28,13,4
E00086633,292,125,90,48,19,10
E00086634,318,181,94,28,9,6
E00086635,419,240,142,26,10,1
E00086636,302,178,92,24,8,0
E00086637,254,146,88,14,5,1
E00086638,239,128,82,24,2,3
E00086639,251,124,75,34,16,2
E00086640,417,185,145,61,22,4
E00086641,338,146,114,54,21,3
E00086642,415,187,162,47,16,3
E00086643,465,259,154,35,10,7
E00086646,465,215,152,60,27,11
E00086647,508,224,205,62,13,4
E00086648,326,124,125,46,23,8
E00086649,267,113,95,43,11,5
E00086650,330,119,138,48,21,4
E00086651,496,235,171,64,18,8
E00086652,460,212,162,61,23,2
E00086653,523,268,180,52,18,5
E00086654,453,200,157,63,25,8
E00086655,415,202,148,46,16,3
E00086656,306,152,106,37,7,4
E00086657,518,278,162,53,19,6
E00086658,284,141,75,38,27,3
E00086659,430,196,161,57,13,3
E00086660,415,220,133,41,20,1
E00086661,493,316,142,31,4,0
E00086662,234,88,73,50,21,2
E00086663,478,284,168,20,2,4
E00086664,483,275,154,43,8,3
E00086665,454,275,131,31,10,7
E00086666,351,196,104,35,13,3
E00086667,537,343,151,39,3,1
E00086668,371,193,141,21,13,3
E00086669,335,156,124,40,13,2
E00086670,334,147,120,44,13,10
E00086671,270,106,81,60,20,3
E00086672,345,148,124,44,20,9
E00086673,291,133,114,36,8,0
E00086674,252,92,107,40,10,3
E00086675,309,105,126,50,21,7
E00086676,304,124,109,44,19,8
E00086677,263,95,91,50,20,7
E00086678,293,134,106,33,15,5
E00086679,273,118,101,40,11,3
E00086680,380,170,136,46,22,6
E00086681,277,117,100,40,16,4
E00086682,337,132,130,52,16,7
E00086683,329,158,120,36,11,4
E00086684,363,146,148,51,12,6
E00086685,200,70,78,34,15,3
E00086686,304,104,111,65,20,4
E00086687,240,87,72,55,21,5
E00086688,332,163,110,46,11,2
E00086689,289,107,114,47,17,4
E00086690,285,97,137,36,10,5
E00086691,243,98,87,46,9,3
E00086692,275,128,90,43,9,5
E00086693,259,106,98,41,10,4
E00086694,332,128,108,58,34,4
E00086695,312,137,118,41,11,5
E00086696,354,153,119,61,17,4
E00086697,325,132,100,60,23,10
E00086698,361,159,131,54,12,5
E00086699,311,130,117,45,13,6
E00086700,342,158,119,50,11,4
E00086701,348,158,112,49,22,7
E00086702,303,139,96,44,16,8
E00086703,178,73,48,36,17,4
E00086704,319,132,107,57,15,8
E00086705,247,98,84,50,13,2
E00086706,283,112,101,55,11,4
E00086707,324,148,120,31,23,2
E00086708,380,145,142,60,21,12
E00086709,273,118,91,35,23,6
E00086710,316,132,124,38,18,4
E00086711,277,119,90,48,15,5
E00086712,303,122,109,57,11,4
E00086713,297,116,104,43,26,8
E00086714,265,125,107,28,4,1
E00086715,303,103,111,60,21,8
E00086716,267,113,110,35,6,3
