rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00110330,0.99999999997132805,121,34,27,0,0,0,0,0,0,0,57,3
S00110331,1.0000000000510101,204,60,33,8,0,0,0,3,0,0,95,5
S00110332,0.99999999998853295,202,71,36,9,0,0,0,0,0,0,74,12
S00110333,0.99999999999968303,119,35,19,3,0,0,0,0,0,0,60,2
S00110334,0.99999999999681999,89,25,12,1,0,0,0,0,0,0,44,7
S00110335,0.99999999999521505,84,17,14,5,0,0,0,0,0,0,44,4
S00110336,1.0000000000029601,177,41,20,0,0,0,0,0,0,0,99,17
S00110337,0.99999999999783795,140,25,11,0,0,0,0,0,0,0,98,6
S00110338,1.0000000000001501,143,16,19,1,0,0,0,0,0,0,99,8
S00110339,1.00000000000111,102,27,12,3,0,0,0,6,0,0,52,2
S00110340,1.0000000000063101,121,21,20,7,0,0,0,0,0,0,70,3
S00110341,1.0000000000137199,133,36,26,9,0,0,0,0,0,0,53,9
S00110342,1.00000000000217,92,23,19,0,0,0,0,0,0,0,49,1
S00110343,0.99999999999980804,89,12,24,0,0,0,0,0,0,0,46,7
S00110344,0.99999999999905198,134,20,14,2,1,0,0,0,0,0,87,10
S00110345,0.99999999997366296,155,41,16,2,0,0,0,0,0,0,91,5
S00110346,1.0000000000043601,168,45,24,9,0,0,0,0,0,0,88,2
S00110347,1.0000000000004099,92,22,11,1,0,0,0,0,0,0,53,5
S00110348,0.99999999999798905,168,60,39,5,0,0,0,0,0,0,59,5
S00110349,0.99999999977457099,125,27,11,5,0,0,0,0,0,0,77,5
S00110350,0.99999999999727995,57,21,7,2,0,0,0,0,0,0,23,4
S00110351,1.00000000000225,145,28,25,3,0,0,0,0,0,0,79,10
S00110352,0.999999999999306,138,25,29,0,0,0,0,0,0,2,74,8
S00110353,0.99999999999899303,93,17,18,3,0,0,0,0,0,0,50,5
S00110372,0.99999999999971501,151,54,8,7,0,0,0,0,0,2,63,17
S00110373,0.99999972103570101,64,25,0,0,0,0,0,0,0,0,29,10
S00110374,0.99999999999099098,96,16,4,2,0,0,0,0,0,2,61,11
S00110375,1.00000000000722,93,53,6,0,0,0,0,9,0,0,24,1
S00110376,1.00000000001419,74,20,3,3,1,0,0,0,0,0,41,6
S00110377,1.00000000000163,87,18,5,0,0,0,0,0,0,0,56,8
S00110378,0.99999999999713096,103,36,4,11,0,0,0,0,0,0,48,4
