rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
A047132047,221,162,32,26,1
A047132048,196,163,14,19,0
A047132049,264,202,19,38,5
A047132050,255,204,14,32,5
A047132051,197,146,22,27,2
A047132052,299,223,21,43,12
A047132053,349,280,22,35,12
A047132054,192,150,14,22,6
A047132055,209,140,25,37,7
A047132056,237,190,32,14,1
A047132057,139,83,27,29,0
A047132058,121,80,12,29,0
A047132059,262,208,14,33,7
A047132060,258,209,16,23,10
A047132061,378,288,35,53,2
A047132062,236,192,7,35,2
A047132063,274,231,14,29,0
A047132064,213,172,17,19,5
A047132065,347,277,29,38,3
A047132066,296,234,9,51,2
A047132067,148,116,7,20,5
A047132068,188,157,6,25,0
A047132069,141,102,12,24,3
A047132070,206,161,16,29,0
A047132071,245,184,26,35,0
A047132072,401,335,22,43,1
A047132073,280,241,15,23,1
A047132074,266,216,8,38,4
A047132075,171,120,15,34,2
A047132076,302,256,10,32,4
A047132077,228,152,29,43,4
A047132078,155,112,10,27,6
A047132079,208,152,19,27,10
A047132080,248,199,18,22,9
A047132081,148,111,20,16,1
A047132082,328,261,22,43,2
A047132083,198,151,10,36,1
A047132084,216,171,16,27,2
A047133001,264,208,19,30,7
A047133002,165,138,8,19,0
A047134001,232,162,16,48,6
A047135001,193,145,15,32,1
A047135002,170,115,20,34,1
A047135003,289,249,18,20,2
A047135004,193,138,32,22,1
A047135005,167,132,16,11,8
A047137001,226,209,10,6,1
A047137002,113,84,14,11,4
A047138001,355,333,10,12,0
A047139001,185,168,8,9,0
A047139002,204,186,13,5,0
A047140001,112,102,2,7,1
A047140002,427,191,54,9,173
A047140003,281,189,61,28,3
A047140004,349,280,37,27,5
A047140005,295,219,26,46,4
A047140006,295,258,11,17,9
A047140007,331,294,18,12,7
A047140008,269,242,9,15,3
A047140009,337,277,14,37,9
A047140010,413,365,19,20,9
A047141001,331,303,5,22,1
A047142001,204,185,5,14,0
A047142002,253,229,9,14,1
A047142003,168,141,15,11,1
A047142004,250,220,2,28,0
A047142005,269,247,3,18,1
A047143001,212,195,9,8,0
A047143002,173,89,39,43,2
A047144001/047144002,344,316,10,17,1
A047145001,309,289,2,12,6
A047145002,312,269,7,35,1
A047145003,343,304,15,24,0
A047145004,348,293,17,36,2
A047145005,381,311,23,41,6
A047146001,374,289,9,34,42
A047146002,238,151,42,43,2
A047146003,203,137,22,37,7
A047146004,187,159,15,12,1
A047146005,195,154,16,22,3
A047146006,271,239,13,16,3
A047147001,194,165,9,17,3
A047147002,238,171,55,10,2
A047148001,299,233,51,12,3
A047148002/047148003,156,125,14,10,7
A047148004,193,159,15,8,11
A047148005,320,269,29,21,1
A047150001,150,102,25,21,2
A047150002,188,99,64,25,0
A047151001,147,82,42,22,1
A047151002,134,112,10,12,0
A047151003,141,95,22,22,2
A047151004,246,233,10,2,1
A047151005,197,163,11,22,1
A047151006,310,240,19,48,3
A047151007,230,172,28,28,2
A047151008,237,220,7,7,3
A047151009,290,250,20,14,6
A047151010,343,295,26,22,0
A047151011,310,229,25,40,16
A047151012,284,248,6,27,3
A047151013,392,323,17,26,26
A047151014,344,301,6,32,5
A047151015,339,284,31,19,5
A047151016,165,152,4,9,0
A047152001,160,148,6,6,0
A047152002,304,276,11,14,3
A047152003,303,269,6,25,3
A047152004,415,347,34,27,7
A047152005,288,262,4,14,8
A047152006,359,302,16,33,8
A047152007,326,290,17,19,0
A047152008,184,120,32,28,4
A047152009,185,168,5,11,1
A047152010/047152013,157,129,15,11,2
A047152011,114,90,10,11,3
A047152012,232,188,17,24,3
A047153001,279,243,12,15,9
A047153002,148,110,15,16,7
A047154001,192,149,15,24,4
A047154002,165,120,20,21,4
A047155001,315,227,38,42,8
A047156001,69,46,2,18,3
A047156002,249,187,35,20,7
A047156003,334,323,3,6,2
A047157001/047157002,356,316,21,16,3
A047158002,140,105,10,22,3
A047159001,275,193,34,45,3
A047159002,158,129,7,21,1
A047159003,226,199,3,22,2
A047159004,235,211,8,15,1
A047159005,201,144,26,29,2
A047160001,239,211,7,18,3
A047161001,226,198,8,18,2
A047161002,195,177,9,9,0
A047162001,313,247,21,43,2
A047162002,100,71,7,16,6
A047163001/047163004,318,216,19,78,5
A047163002,223,176,12,28,7
A047163003,128,94,17,17,0
A047165001,192,183,6,3,0
A047165002,350,309,15,12,14
A047168001,70,47,12,11,0
A047168002,220,197,15,8,0
A047168003,293,218,24,47,4
A047169001,209,165,9,31,4
A047169002,320,285,10,22,3
A047169003,215,179,11,21,4
A047169004,236,207,4,21,4
A047170001,277,225,17,28,7
A047170002,251,237,3,7,4
A047170003,233,212,7,14,0
A047170004,326,283,10,27,6
A047170005,275,244,14,15,2
A047171001,280,248,7,18,7
A047171002,301,264,9,27,1
A047171003,280,242,17,19,2
A047172001,223,212,1,7,3
A047173001,268,243,9,5,11
A047173001,268,243,9,5,11
A047173002,236,210,13,10,3
A047173003,276,254,10,9,3
A047173004,234,206,10,15,3
A047173005,277,258,11,8,0
A047173006,278,253,5,18,2
A047173007,281,241,14,9,17
A047173008,261,149,51,51,10
A047173009,230,174,26,24,6
A047174001,343,256,45,33,9
A047175001,295,252,18,24,1
A047175002,326,279,25,18,4
A047176001,197,150,13,28,6
A047176003,234,174,20,35,5
A047177001,313,260,23,28,2
A047177002,203,143,26,24,10
A047177003,344,291,32,21,0
A047177004,282,220,33,23,6
A047177005,243,159,32,40,12
A047177006,199,184,3,12,0
A047177007,163,139,11,10,3
A047177008,176,146,6,19,5
A047178001,257,207,30,16,4
A047178002,333,274,27,26,6
A047178003,273,241,12,18,2
A047178004,209,150,32,26,1
A047178005,225,178,21,24,2
A047178006,265,235,21,8,1
A047178007,215,186,11,15,3
A047178008,185,136,15,30,4
A047178009,156,132,4,13,7
A047178010,287,244,20,17,6
A047178011,384,345,7,26,6
A047178012,330,261,31,33,5
A047178013,306,167,77,45,17
A047178014,202,177,14,11,0
A047178015,422,375,27,15,5
A047178016,310,267,32,11,0
A047178017,195,148,33,9,5
A047178018,214,143,40,26,5
A047178019,304,195,82,18,9
A047178020,290,214,47,22,7
A047178021,193,130,46,12,5
A047179001,210,127,44,29,10
A047179003,237,133,57,32,15
A047179004,343,225,85,32,1
A047179006,350,311,6,33,0
A047179008,206,147,21,32,6
A047179009,252,235,4,11,2
A047181001,307,266,25,12,4
A047181002,210,187,17,5,1
A047182001,296,259,11,25,1
A047182003,170,146,6,14,4
A047183001,153,130,9,9,5
A047183002,176,155,7,14,0
A047183003,173,169,0,4,0
A047183004,205,161,17,26,1
A047184001,377,321,14,31,11
A047185001,217,182,8,23,4
A047185002,248,225,5,15,3
A047186001,248,215,10,22,1
A047186002,259,223,13,23,0
A047186003,291,239,28,24,0
A047186004,369,333,15,20,1
A047186005,348,309,16,23,0
A047186006,330,299,9,19,3
A047186007,312,254,37,19,2
A047186008,309,238,31,39,1
A047186009,252,223,20,7,2
A047189001,82,63,4,14,1
A047189002/047189003/047189004,139,92,29,18,0
A047190001,103,75,3,25,0
A047192001,141,128,4,9,0
A047193001,189,172,1,14,2
A047193002,172,125,6,40,1
A047193003,112,94,4,13,1
A047194001,208,132,36,39,1
A047195001,233,145,38,46,4
A047195002,392,327,22,42,1
A047197001,289,251,3,31,4
A047197002/047197004,269,237,6,20,6
A047197003/047197005,257,209,23,21,4
A047199001,310,254,13,42,1
A047199002,283,242,7,28,6
A047201001,180,135,24,19,2
A047201002,169,146,9,11,3
A047202001,209,167,19,22,1
A047202002,160,136,11,11,2
A047202003,137,107,16,13,1
A047202004,103,80,7,11,5
A047202005,100,74,8,11,7
A047203001,115,76,25,12,2
A047203002,190,177,6,5,2
A047204001,187,155,11,21,0
A047204002,317,239,35,37,6
A047205001/047205003,208,194,1,11,2
A047205002,384,312,22,50,0
A047205004,317,291,6,19,1
A047205005,313,272,14,24,3
A047206001,310,271,10,29,0
A047206002,349,311,16,14,8
A047206003,189,122,31,35,1
A047207001,176,149,12,13,2
A047208001,231,210,7,13,1
A047210001,228,175,8,42,3
A047210002,231,192,18,20,1
A047210003,235,204,14,14,3
A047210004,212,196,9,6,1
A047211001,278,259,13,4,2
A047212001,339,278,33,27,1
A047212002,217,183,8,23,3
A047215001,309,224,52,33,0
A047215002,290,226,43,17,4
A047217001,173,111,29,28,5
A047217002,226,192,2,31,1
A047217003,200,190,4,2,4
A047220001,258,223,8,22,5
A047220002,199,164,6,16,13
A047221001,233,188,6,20,19
A047221002,198,169,6,23,0
A047221003,272,249,11,9,3
