house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A047132064,75,11,19,35,7,1,2
A047132065,106,15,10,64,10,6,1
A047132066,96,10,18,48,11,7,2
A047132067,77,28,22,14,2,10,1
A047132068,68,13,17,28,1,7,2
A047132069,69,17,27,10,1,11,3
A047132070,82,16,22,31,1,11,1
A047132071,70,7,8,48,3,3,1
A047132072,124,20,15,78,9,1,1
A047132073,83,12,10,46,5,4,6
A047132074,92,13,26,44,3,5,1
A047132075,72,16,19,14,5,15,3
A047132076,79,11,4,50,8,2,4
A047132077,105,31,27,20,5,18,4
A047132078,75,25,13,9,7,20,1
A047132079,68,11,11,34,2,8,2
A047132080,85,13,26,33,7,3,3
A047132081,57,10,12,21,7,6,1
A047132082,85,7,13,48,8,4,5
A047132083,106,48,14,19,8,14,3
A047132084,80,11,15,27,10,9,8
A047133001,88,10,24,44,6,2,2
A047133002,85,24,23,12,11,14,1
A047134001,111,32,27,18,9,25,0
A047135001,67,10,10,33,6,4,4
A047135002,71,17,21,17,7,9,0
A047135003,73,10,17,34,6,0,6
A047135004,70,19,11,33,4,3,0
A047135005,55,8,11,24,7,4,1
A047137001,88,21,16,37,12,1,1
A047137002,59,34,8,7,3,5,2
A047138001,123,21,26,55,11,3,7
A047139001,68,13,15,25,6,5,4
A047139002,71,11,12,31,7,5,5
A047140001,51,13,19,11,5,1,2
A047140002,71,14,14,34,4,1,4
A047140003,97,18,29,35,3,6,6
A047140004,111,36,20,38,10,3,4
A047140005,93,20,14,41,8,5,5
A047140006,101,21,22,41,6,5,6
A047140007,118,31,18,43,20,4,2
A047140008,89,14,17,44,4,8,2
A047140009,107,17,19,54,9,4,4
A047140010,127,12,19,75,16,2,3
A047141001,112,29,14,52,9,3,5
A047142001,68,12,17,30,6,1,2
A047142002,78,13,15,38,4,3,5
A047142003,56,8,7,34,7,0,0
A047142004,83,21,24,32,4,2,0
A047142005,68,22,13,22,8,2,1
A047143001,70,13,8,32,14,0,3
A047143002,75,25,18,19,8,4,1
A047144001/047144002,103,12,15,59,10,3,4
A047145001,93,5,23,46,11,3,5
A047145002,104,16,24,50,7,3,4
A047145003,127,30,22,52,13,7,3
A047145004,104,13,24,49,10,2,6
A047145005,118,18,11,63,15,7,4
A047146001,102,13,20,59,3,2,5
A047146002,92,26,19,32,9,3,3
A047146003,72,14,16,34,4,3,1
A047146004,71,17,15,24,9,2,4
A047146005,90,29,18,22,15,6,0
A047146006,107,37,19,37,10,0,4
A047147001,96,41,21,19,10,2,3
A047147002,79,14,16,35,6,3,5
A047148001,92,19,20,38,11,1,3
A047148002/047148003,60,18,7,15,16,4,0
A047148004,90,39,17,16,8,8,2
