rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00003637,290,208,0,0,0,0,0,0,57,25
W00003638,350,194,0,5,0,0,0,4,117,30
W00003639,292,184,1,0,0,0,0,5,72,30
W00003640,354,259,0,1,0,0,0,0,70,24
W00003641,266,148,2,0,0,0,0,4,83,29
W00003642,227,141,0,0,0,0,0,1,63,22
W00003643,212,120,0,0,1,3,0,3,64,21
W00003644,272,157,0,0,0,0,0,0,99,16
W00003645,246,155,0,0,1,0,0,2,65,23
W00003646,218,109,0,1,1,1,0,0,86,20
W00003647,329,246,0,0,0,0,1,2,57,23
W00003648,235,164,0,0,0,0,0,1,50,20
W00003649,233,140,1,0,0,0,0,1,67,24
W00003650,360,226,3,0,0,2,0,0,108,21
W00003651,195,108,0,3,0,0,0,1,64,19
W00003652,235,146,2,0,0,0,0,1,72,14
W00003653,243,165,0,0,0,2,5,3,57,11
W00003654,235,150,0,0,0,0,0,0,67,18
W00003655,259,168,0,0,0,0,0,0,53,38
W00003656,365,200,2,6,1,0,0,1,133,22
W00003657,368,271,1,0,0,0,0,0,75,21
W00003658,372,249,0,0,0,0,0,4,93,26
W00003659,248,159,0,0,0,0,0,0,62,27
W00003660,288,185,1,0,0,4,0,0,80,18
W00003661,305,213,0,2,0,0,0,1,63,26
W00003662,261,193,0,0,0,0,0,2,46,20
W00003663,376,246,1,0,0,0,0,0,107,22
W00003664,212,147,0,0,0,4,0,0,50,11
W00003665,413,284,1,4,0,0,0,2,94,28
W00003666,273,174,0,0,1,0,0,0,85,13
W00003667,301,195,1,0,0,0,5,0,73,27
W00003668,267,140,1,1,0,0,0,0,97,28
W00003669,310,171,0,1,0,0,0,1,112,25
W00003670,346,239,0,0,2,0,4,3,75,23
W00003671,524,388,0,0,0,0,0,3,92,41
W00003672,247,167,0,0,0,0,0,4,50,26
W00003673,147,61,1,0,0,0,1,2,55,27
W00003674,209,142,2,0,0,2,0,4,39,20
W00003675,231,127,1,2,0,0,0,0,66,35
W00003676,237,107,1,0,1,0,0,0,93,35
W00003677,264,189,0,0,0,0,0,4,47,24
W00003678,235,125,2,0,0,0,0,6,63,39
W00003679,349,224,0,5,0,5,0,0,88,27
W00003680,307,171,0,0,0,0,0,4,111,21
W00003681,385,231,0,0,1,4,0,0,99,50
W00003682,303,204,0,1,0,2,0,3,63,30
W00003683,293,186,3,0,0,3,0,0,70,31
W00003684,214,149,0,1,1,0,0,1,51,11
W00003685,446,268,1,0,0,1,0,3,129,44
W00003686,348,222,3,0,0,0,4,2,81,36
W00003687,336,214,1,0,2,0,0,1,81,37
W00003688,276,188,0,0,0,2,0,2,52,32
W00003689,236,143,0,0,0,0,0,3,62,28
W00003690,325,189,2,0,0,0,0,1,93,40
W00003691,246,134,0,0,0,0,0,1,80,31
W00003692,357,251,1,0,0,0,0,3,77,25
W00003693,281,195,0,0,0,0,0,1,63,22
W00003694,220,117,0,0,0,0,0,0,83,20
W00003695,351,257,0,0,1,0,0,1,64,28
W00003696,299,164,0,0,0,0,0,0,108,27
W00003697,351,236,0,0,1,0,0,2,81,31
W00003698,310,199,0,0,1,0,0,5,83,22
W00003699,398,274,0,0,0,1,0,2,80,41
W00003700,312,176,3,0,0,0,0,4,104,25
W00003701,330,202,5,0,0,0,0,2,86,35
W00003702,423,227,1,0,0,0,0,1,154,40
W00003703,289,183,0,0,0,0,1,1,65,39
W00003704,271,160,1,0,0,0,0,7,83,20
