rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00095086,0.99999999999954303,207,39,20,7,0,0,0,0,0,0,127,14
S00095087,0.99999999999787204,97,14,12,2,0,0,0,0,0,0,60,9
S00095088,1.00000000002806,89,22,12,0,0,0,0,0,0,0,51,4
S00095089,0.99999999999929301,122,21,14,8,0,0,0,0,0,0,67,12
S00095090,1.00000000084125,109,18,12,4,0,0,0,0,0,0,55,20
S00095091,1.0000000000320399,168,27,27,12,0,0,0,0,0,0,88,14
S00095092,1.00000000000079,121,25,15,6,0,0,0,0,0,1,52,22
S00095093,1.00000000000083,185,55,16,6,0,0,0,0,0,3,87,18
S00095094,1.00000000039591,143,31,17,11,0,0,0,0,0,0,69,15
S00095095,1.0000000000135401,109,61,3,9,1,0,0,1,0,0,32,2
S00095096,1.00000000002784,139,33,15,8,0,0,0,0,0,0,72,11
S00095097,0.99999999802636996,54,18,5,3,0,0,0,4,0,0,21,3
S00095098,0.99999999999251998,61,19,7,4,0,0,0,1,0,2,23,5
S00095099,0.99999999999617695,71,30,14,2,0,0,0,0,0,0,22,3
S00095100,0.99999999999840605,161,100,6,10,0,0,0,0,0,0,39,6
S00095101,1.0000000002232901,109,67,0,8,0,0,0,0,0,0,30,4
S00095102,0.99999999997498701,119,60,2,5,0,0,0,0,0,0,48,4
S00095103,0.99999999998853895,139,66,4,4,0,0,0,0,0,0,63,2
S00095104,1.0000000000012701,71,19,5,0,1,0,0,0,0,0,43,3
S00095105,1.0000000000003499,107,60,2,3,0,0,0,0,0,0,34,8
S00095106,0.99999999998590305,139,52,5,10,0,0,0,1,0,1,66,4
S00095107,1.00000000001256,72,32,3,2,0,0,0,1,0,0,32,2
S00095108,0.999999999995419,100,38,10,4,1,0,0,0,0,1,40,6
S00095109,1.0000000000096601,85,29,1,8,0,0,0,0,0,1,36,10
S00095110,0.99999999999260603,81,31,4,4,0,0,0,0,0,0,36,6
S00095111,1.0000000000103599,136,51,7,10,0,0,0,0,0,0,61,7
S00095112,1.00000000000227,52,8,1,1,0,0,0,0,0,1,32,9
S00095113,1.0000000000001501,142,83,11,6,0,0,0,0,0,0,29,13
S00095114,1.0000000000042299,73,21,5,3,0,0,0,0,0,0,38,6
S00095115,0.99999999998967903,77,37,4,4,0,0,0,0,0,0,26,6
S00095116,0.99999999999105904,90,37,11,3,1,0,0,0,0,0,35,3
S00095117,1.0000000000754199,134,72,9,7,0,0,0,0,0,0,34,12
S00095118,1.0000000000440501,95,53,1,2,1,0,0,0,0,1,24,13
S00095119,0.99999999987941302,72,27,8,7,0,0,0,0,0,0,26,4
S00095120,0.99999999999892997,92,36,6,0,0,0,0,0,0,0,41,9
S00095121,1.0000000000083999,134,60,11,7,1,0,0,0,0,1,44,10
S00095122,1.0000000000003799,100,38,8,7,0,0,0,0,0,0,41,6
S00095123,1.0000000000103599,165,86,5,18,0,0,0,0,0,0,44,12
S00095124,0.99999999999438405,106,26,13,3,0,0,0,0,0,0,54,10
S00095125,0.99999999998998601,62,35,1,3,0,0,0,0,0,1,17,5
S00095126,1.0000000000006899,99,65,2,4,0,0,0,0,0,0,21,7
S00095127,0.99999999999018996,121,65,10,3,0,0,0,0,0,0,23,20
S00095128,0.99999999996626898,178,78,7,6,0,0,0,0,0,0,63,24
S00095129,1.0000000000003999,79,39,2,4,2,0,0,0,0,0,29,3
S00095130,0.99999999999991995,154,43,13,6,1,0,0,0,0,0,77,14
S00095131,1.0000000000003499,110,40,8,0,0,0,0,0,0,0,51,11
S00095132,1.00000000000277,166,62,13,4,1,0,0,1,0,0,59,26
S00095133,0.99999999998650801,135,42,8,7,0,0,1,0,0,1,58,18
S00095134,1.00000000000694,167,61,12,8,0,0,0,1,0,1,67,17
S00095135,1.0000000000043801,114,59,5,6,0,0,0,0,0,0,39,5
S00095136,1.00000000000333,59,15,4,4,0,0,0,0,0,0,34,2
S00095137,1.00000000000331,88,27,6,9,0,0,0,0,0,0,34,12
S00095138,0.99999999999970202,72,35,5,3,0,0,0,0,0,0,26,3
S00095139,1.0000000001893701,109,44,5,13,0,0,0,0,0,0,39,8
S00095140,1.0000000000012099,89,31,8,3,0,0,0,0,0,0,39,8
S00095141,0.99999999999843303,80,36,2,8,0,0,0,0,0,0,27,7
S00095142,0.99999999997199795,92,37,4,4,0,0,0,3,0,0,35,9
S00095143,1.0000000000018201,73,26,5,8,1,0,0,0,0,0,33,0
S00095144,0.99999999997282596,103,44,4,5,0,0,0,0,0,1,36,13
S00095145,0.99999999999971301,77,35,9,5,0,0,0,0,0,0,24,4
S00095146,1.0000000000034801,64,13,2,0,0,0,0,0,0,0,44,5
S00095147,0.99999999994140898,71,29,5,0,0,0,1,0,0,0,26,10
S00095148,1.00000000000279,76,33,8,4,2,0,0,0,0,0,28,1
S00095149,0.99999999998917899,59,26,4,3,0,0,0,0,0,0,21,5
S00095150,0.99999999999048805,95,47,4,5,0,0,0,0,0,0,29,10
S00095151,1.00000000001335,83,44,4,6,0,0,0,0,0,1,21,7
S00095152,1.0000000046059601,119,49,6,1,0,0,0,0,0,0,54,9
S00095184,0.99999999999429801,80,45,1,2,0,0,0,0,0,0,29,3
S00095185,1.0000000000442999,79,25,6,2,0,0,0,0,0,1,34,11
S00095186,1.00000000004673,90,33,16,6,0,0,0,0,0,0,32,3
S00095187,1.00000000000534,98,41,1,4,0,0,0,1,2,0,38,11
S00095188,1.00000000000359,85,40,5,5,0,0,0,0,0,0,29,6
S00095189,1.0000000000071601,115,51,9,6,3,0,0,0,0,0,39,7
S00095190,0.99999999999550704,115,66,1,5,0,0,0,0,0,0,39,4
S00095191,0.99999999998508304,144,77,4,14,1,0,0,0,0,0,34,14
S00095192,0.99999999997630296,95,50,3,7,0,0,0,0,0,0,30,5
S00095193,0.99999999999745504,93,42,10,5,0,0,0,0,0,0,26,10
S00095194,1.00000000000088,62,14,4,4,1,0,0,0,0,1,24,14
S00095195,0.99999999999596001,112,57,1,12,0,0,0,0,0,0,33,9
S00095196,1.0000000000199101,95,38,3,6,0,0,0,0,0,1,35,12
S00095197,1.0000000000032501,150,71,4,10,0,0,0,0,0,1,55,9
S00095198,1.0000000000067499,103,35,4,13,0,0,0,0,0,0,46,5
S00095199,1.0000000000081499,74,38,4,4,0,0,0,1,0,0,19,8
S00095200,0.99999999998964795,84,21,5,7,0,0,0,0,0,1,47,3
S00095201,0.99999999959198504,129,69,6,8,0,0,0,0,0,0,42,4
S00095202,1.00000000000355,137,51,10,11,0,0,0,0,0,0,62,3
S00095203,1.0000000000175799,90,46,2,7,0,0,1,0,0,0,34,0
S00095204,1.00000000001746,108,41,6,4,0,0,0,0,0,1,44,12
S00095205,1.0000000000004701,102,42,3,15,0,0,0,0,0,0,34,8
S00095206,1.0000000000050899,73,32,2,7,0,0,0,0,0,1,27,4
S00095207,0.99999999997240197,109,41,6,9,0,0,0,0,0,0,46,7
S00095208,1.0000000000001801,68,36,0,2,0,0,0,0,0,0,30,0
S00095209,1.0000000001020699,136,55,8,3,0,0,0,0,0,0,64,6
S00095210,0.99999999999498801,69,28,2,3,0,0,0,1,0,2,32,1
S00095211,0.99999999993876498,115,61,3,0,0,0,0,0,0,0,43,8
S00095212,0.99999999982769205,95,31,4,11,0,0,0,3,0,0,39,7
S00095213,0.999999999529955,88,39,6,8,0,0,0,0,0,0,33,2
S00095214,0.99999999999213196,136,36,7,4,0,0,0,0,0,0,80,9
S00095215,1.0000000000065099,111,34,9,2,0,0,0,0,0,0,54,12
S00095216,0.99999999999563804,113,41,0,12,0,0,0,0,0,0,56,4
S00095217,1.00000000025894,142,39,11,5,1,0,0,1,0,0,75,10
S00095218,1.0000000000001401,96,45,7,7,0,0,0,0,0,0,34,3
S00095219,1.0000000000007201,156,55,9,16,1,0,0,0,0,3,58,14
S00095220,0.99999999999404598,57,17,9,8,0,0,0,0,0,0,22,1
S00095221,1.00000000000107,78,26,8,1,0,0,0,0,0,0,33,10
S00095222,1.00000000015952,98,39,3,8,1,0,0,0,0,1,41,5
S00095223,0.99999999998033295,87,28,6,2,0,0,0,0,0,0,38,13
S00095224,0.99999999994531297,100,47,3,7,0,0,0,0,0,0,35,8
S00095225,1.0000000000743601,82,25,2,7,0,0,0,0,0,0,42,6
S00095226,1.0000000000039,116,46,8,5,1,0,0,0,0,0,49,7
S00095227,1.0000000000020299,66,25,7,2,0,0,0,0,0,0,28,4
S00095228,0.99999999998944999,79,20,3,3,0,0,0,0,0,2,49,2
S00095229,0.999999999725246,79,20,0,10,0,0,0,0,0,0,43,6
S00095230,0.99999999999077305,71,10,9,2,0,0,0,0,0,0,47,3
