house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00095369,0.538754054670326,76,6,22,12,29,5,0,2
S00095370,0.755772255408375,54,10,6,27,8,1,0,2
S00095505,1.00000000000385,47,9,7,18,11,0,1,1
S00095506,0.999999805691419,58,9,15,14,15,5,0,0
S00095507,0.94204238091568204,58,12,10,19,13,4,0,0
S00095508,0.99999999977680198,69,3,6,32,16,6,1,5
S00095604,0.94665919747298799,46,2,10,17,15,1,0,1
S00095605,0.12834669664933801,47,1,3,25,14,0,2,2
S00095610,4.1896609311512498E-2,72,11,10,31,11,2,0,7
S00095614,0.99999999999558997,48,2,14,20,11,0,0,1
S00095622,0.61114088124223398,37,0,8,19,5,3,0,2
S00095623,0.96343367320974604,38,1,7,22,6,0,0,2
S00095627,1.0000000000056299,28,8,4,11,5,0,0,0
S00095628,0.99999999999937395,35,2,6,19,2,2,0,4
S00095629,0.99999999999280897,51,10,7,14,11,7,1,1
S00095630,0.99999999998993805,60,10,17,24,6,2,0,1
S00095631,0.99999999999963696,28,9,1,9,5,1,0,3
S00095632,0.99999999999362099,42,7,8,14,9,0,2,2
S00095633,1.00000000000384,31,3,7,17,3,0,0,1
S00095634,1.0000000000008999,28,2,3,16,4,2,0,1
S00095651,1.00000000001107,52,2,4,26,17,1,2,0
S00095652,0.99999999986110699,47,3,21,13,3,4,0,3
S00095653,1.00000000000246,52,4,19,20,6,1,0,2
S00095654,0.99999999999724098,56,10,7,24,14,0,0,1
S00095655,1.00000000001944,28,0,0,8,19,0,0,1
S00095656,1.0000000000013101,50,21,2,21,3,0,0,3
S00095657,1.0000000000029701,40,2,10,13,11,3,0,1
S00095658,1.0000000000026901,37,7,20,3,1,1,0,5
S00095659,1.0000000000398199,44,16,5,16,7,0,0,0
S00095660,1.00000000000006,77,49,4,22,0,0,0,2
S00095661,1.0000000000065199,55,12,10,20,11,2,0,0
S00095662,0.99999999999368605,42,3,4,21,13,0,0,1
S00095682,1.0000000000015501,28,4,2,11,8,2,1,0
S00095685,0.99999997100934701,31,5,2,11,6,5,0,2
S00095686,1.0000000000201501,59,13,16,12,8,5,1,4
S00095689,1.00000000000892,27,5,3,8,3,6,0,2
S00095690,0.99999999999976397,56,6,23,7,5,10,2,3
S00095708,0.89015879450867796,77,8,4,36,16,7,1,5
S00095709,6.9123297338101894E-2,64,4,4,32,19,1,1,3
S00095729,4.4319287397718801E-2,44,4,9,21,6,2,0,2
S00095740,1.00000000001221,43,6,14,18,3,1,0,1
S00095741,1.00000000001056,41,19,9,10,1,1,0,1
S00095742,0.99999999999469402,48,10,7,18,9,0,0,4
S00095743,0.99999999998869205,36,7,1,12,10,3,0,3
S00095744,1.00000000000172,46,8,4,11,13,7,0,3
S00095745,1.0000000000021301,36,7,3,15,5,2,1,3
S00095746,0.99999999997191202,28,6,2,12,7,0,1,0
S00095747,1.0000000000026299,58,10,12,16,10,5,0,5
S00095748,0.99999999999994105,53,5,5,16,15,8,1,3
S00095749,0.99999999998928701,36,0,5,13,11,3,1,3
S00095750,0.99999999997270095,50,7,7,21,14,0,0,1
S00095751,0.999999999999586,30,6,2,15,6,0,0,1
S00095752,0.99999999999153,64,15,35,9,0,3,0,2
S00095753,1.0000000000411999,43,5,17,11,4,5,0,1
S00095754,1.0000000000006699,40,4,23,4,4,2,0,3
S00095755,0.99999999900224901,47,5,19,10,2,0,0,11
S00095756,1.00000000002115,47,3,10,21,8,2,0,3
S00095757,0.99999999999739697,57,8,23,19,5,0,1,1
S00095758,0.99999999999981004,58,7,18,17,10,2,0,4
S00095759,0.99999999999943601,47,35,2,9,1,0,0,0
S00095760,0.99999999999378097,78,18,14,30,7,5,0,4
S00095761,1.0000000000048099,40,20,5,13,2,0,0,0
S00095762,1.0000000000050799,39,5,10,14,6,3,0,1
S00095763,1.00000000013803,32,2,13,6,5,5,0,1
S00095764,1.00000000000251,57,12,25,10,6,3,0,1
S00095777,1.00000000000055,50,11,33,1,0,2,0,3
S00095778,1.00000000001918,50,5,19,19,2,1,0,4
S00095779,1.0000000000214999,50,5,17,10,3,9,0,6
S00095780,1.0000000000228,51,3,15,23,5,3,0,2
S00095781,1.0000000000146001,60,7,25,16,5,0,0,7
S00095782,1.00000000000645,46,1,5,9,23,6,2,0
S00095783,0.99999999999640399,32,3,7,13,5,0,3,1
S00095784,0.999999999995831,58,6,15,15,11,5,1,5
S00095785,1.0000000000185401,41,3,7,21,7,1,0,2
S00095786,1.00000000022424,62,8,6,26,14,7,0,1
S00095791,0.91987695892272203,68,4,7,30,19,8,0,0
S00095792,0.67997515212959803,36,3,5,19,5,2,1,1
S00095827,0.999999999997078,51,17,13,12,5,3,0,1
S00095828,1.00000000002137,68,12,7,31,12,3,0,3
S00097124,8.0783991418998197E-2,41,1,9,17,5,2,1,6
S00097125,7.7055053126156306E-2,49,4,7,27,7,1,2,1
S00097193,0.52067684625801003,63,8,24,16,7,3,0,5
