rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00000694,873,126,337,170,15,105,4,64,52
N00000695,518,54,181,116,1,74,4,60,28
N00000696,180,49,60,26,1,10,1,17,16
N00000697,380,42,140,70,6,57,1,44,20
N00000698,451,60,170,67,8,73,3,39,31
N00000699,256,36,114,43,2,32,3,18,8
N00000700,262,120,64,18,0,11,4,34,11
N00000701,235,7,113,48,0,14,6,29,18
N00000702,771,116,297,128,2,81,4,90,53
N00000703,342,24,136,75,4,39,4,52,8
N00000704,656,60,317,99,6,75,5,65,29
N00000705,680,136,255,98,3,98,5,60,25
N00000706,437,138,131,85,1,23,0,37,22
N00000707,360,22,171,82,0,23,10,34,18
N00000708,466,144,186,35,0,38,0,43,20
N00000709,465,33,251,80,3,28,2,52,16
N00000710,345,36,180,43,4,46,2,22,12
N00000711,522,35,220,111,13,67,3,51,22
N00000712,385,80,156,12,3,69,0,31,34
N00000713,421,222,115,19,0,32,1,19,13
N00000714,453,179,172,14,1,24,4,33,26
N00000825,367,320,2,0,0,3,0,15,27
N00000826,302,266,0,2,0,1,0,9,24
N00000827,298,269,1,2,0,0,1,6,19
N00000828,231,209,0,1,0,0,1,7,13
N00000829,310,274,0,0,0,0,1,8,27
N00000830,260,229,1,4,0,2,1,3,20
N00000831,306,263,2,0,0,1,0,7,33
N00000832,273,231,1,1,0,0,1,12,27
N00000833,253,224,0,0,0,0,0,4,25
N00000834,390,321,1,1,0,2,0,10,55
N00000835,301,251,1,0,0,0,0,4,45
N00000836,347,315,1,0,0,0,0,14,17
N00000837,351,294,1,0,0,1,4,14,37
N00000838,283,218,0,1,0,3,1,27,33
N00000839,363,325,0,1,0,0,2,10,25
N00000840,272,235,3,1,0,0,0,13,20
N00000841,295,227,0,1,2,2,0,4,59
N00000842,556,452,0,2,5,1,2,8,86
N00000843,233,190,2,1,1,0,0,4,35
N00000844,213,182,1,0,0,2,0,4,24
N00000845,202,175,0,4,0,1,0,5,17
N00000846,246,206,0,1,1,0,0,4,34
N00000847,958,742,5,10,4,1,3,37,156
N00000848,240,190,0,0,0,1,0,1,48
N00000849,307,249,0,7,1,3,0,2,45
N00000850,270,233,0,1,1,1,0,12,22
N00000851,243,196,2,0,0,3,0,5,37
N00000852,1179,988,7,3,0,5,2,32,142
