pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01009349,811,396,415,42,128,93,75,118,278,64,13
S01009350,574,283,291,33,54,51,92,97,168,53,26
S01009351,576,289,287,33,60,54,74,125,174,48,8
S01009352,819,383,436,40,86,91,89,105,315,71,22
S01009353,1128,525,603,109,158,84,127,233,319,76,22
S01009354,1551,772,779,115,206,154,154,241,543,115,23
S01009355,834,386,448,37,56,39,96,85,225,210,86
S01009356,874,426,448,29,68,60,86,77,209,231,114
S01009357,512,271,241,47,58,46,51,70,166,60,14
S01009358,653,327,326,27,36,53,56,34,245,165,37
S01009359,736,352,384,28,65,76,82,85,286,88,26
S01009360,799,386,413,31,47,49,94,94,216,180,88
S01009361,777,386,391,25,52,40,95,82,225,169,89
S01009362,930,461,469,25,63,39,110,121,246,217,109
S01009363,792,399,393,37,53,52,108,108,195,160,79
S01009364,884,445,439,54,78,64,102,150,247,149,40
S01009365,566,271,295,34,35,37,85,79,148,103,45
S01009366,766,357,409,37,80,58,81,93,228,113,76
S01009367,596,294,302,35,58,22,66,94,169,108,44
S01009368,535,264,271,18,51,39,74,61,150,113,29
S01009369,575,296,279,31,55,45,81,89,136,98,40
S01009370,782,382,400,42,49,37,85,98,177,204,90
S01009371,560,270,290,34,55,24,82,90,143,103,29
S01009372,467,234,233,20,25,23,50,52,160,83,54
S01009373,763,388,375,41,69,38,117,87,256,96,59
S01009374,928,465,463,32,66,52,105,114,242,214,103
S01009375,734,353,381,40,42,59,123,83,203,135,49
S01009376,521,251,270,19,35,27,67,49,150,124,50
S01009377,1433,931,502,55,105,82,387,305,342,99,58
S01009378,965,470,495,44,92,77,175,139,249,136,53
S01009379,958,477,481,48,113,108,121,132,335,76,25
S01009380,541,283,258,16,47,33,70,80,164,120,11
S01009381,594,302,292,15,35,22,86,113,178,108,37
S01009382,724,368,356,29,56,44,103,84,209,132,67
S01009383,742,381,361,34,33,33,110,94,257,133,48
S01009384,573,284,289,27,28,37,61,55,185,125,55
S01009385,478,229,249,16,39,36,44,61,130,116,36
S01009386,583,270,313,21,59,49,57,84,150,94,69
S01009387,582,267,315,20,59,49,87,76,162,92,37
S01009388,696,373,323,47,63,55,116,95,202,83,35
S01009389,946,463,483,24,54,50,125,112,262,217,102
S01009390,714,380,334,36,57,61,83,57,282,108,30
S01009391,677,320,357,29,62,62,97,74,243,82,28
S01009392,521,255,266,18,40,50,83,55,204,56,15
S01009393,654,318,336,28,56,54,82,56,193,136,49
S01009394,937,466,471,37,46,37,91,113,236,213,164
S01009395,666,324,342,11,55,45,49,42,148,204,112
S01009396,734,360,374,17,45,55,76,36,195,195,115
S01009397,686,343,343,19,51,41,72,59,204,175,65
S01009398,639,295,344,20,46,38,86,75,177,144,53
S01009399,678,334,344,21,43,38,59,66,205,162,84
S01009400,513,224,289,20,40,39,83,40,149,84,58
S01009401,661,338,323,24,44,31,65,62,142,172,121
S01009402,856,422,434,17,46,54,101,45,250,216,127
S01009403,512,238,274,19,38,45,87,41,159,95,28
S01009404,711,354,357,40,88,66,101,91,192,96,37
S01009405,425,194,231,11,35,26,47,37,122,96,51
S01009406,939,418,521,40,43,44,155,90,227,184,156
S01009407,521,264,257,19,25,31,59,49,161,125,52
S01009408,916,444,472,45,84,52,93,122,273,192,55
S01009409,896,424,472,72,88,39,133,129,214,131,90
S01009410,836,402,434,54,73,54,112,121,236,138,48
S01009411,838,416,422,39,77,74,125,95,219,162,47
