house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00096150,35,4,0,19,8,1,0,3
S00096151,49,10,4,21,9,2,0,3
S00096152,35,10,4,11,5,1,0,4
S00096153,40,2,3,22,8,2,2,1
S00096154,52,3,25,16,2,4,0,2
S00096155,58,3,13,12,10,10,2,8
S00096156,39,1,11,17,6,4,0,0
S00096157,58,1,22,24,6,4,0,1
S00096158,46,1,3,15,24,2,0,1
S00096159,75,2,9,38,20,5,1,0
S00096160,64,0,8,22,28,3,2,1
S00096161,56,2,19,14,14,6,0,1
S00096162,71,7,9,33,16,4,0,2
S00096163,46,4,8,31,1,0,0,2
S00096164,48,11,1,35,0,1,0,0
S00096165,68,1,10,24,23,6,1,3
S00096166,49,2,7,18,21,0,0,1
S00096167,64,0,5,28,22,7,1,1
S00096168,46,0,2,23,18,0,0,3
S00096169,70,0,5,28,30,5,1,1
S00096170,62,7,7,30,13,1,0,4
S00096171,46,1,9,18,18,0,0,0
S00096172,54,3,8,10,25,6,1,1
S00096173,61,3,22,19,10,6,0,1
S00096174,28,0,7,8,12,0,0,1
S00096175,36,0,14,7,12,2,0,1
S00096176,64,2,10,17,23,5,4,3
S00096177,68,3,13,26,13,5,2,6
S00096178,30,2,2,16,4,4,2,0
S00096179,60,15,22,18,0,4,0,1
S00096180,73,7,23,18,8,3,2,12
S00096181,47,1,33,8,3,0,1,1
S00096182,73,8,48,7,2,5,0,3
S00096183,54,13,12,17,3,7,0,2
S00096184,53,7,12,17,6,3,3,5
S00096185,39,7,14,5,2,4,2,5
S00096186,44,5,14,7,7,8,0,3
S00096187,33,6,10,11,2,3,1,0
S00096188,47,0,22,9,8,7,0,1
S00096189,76,5,27,18,12,3,2,9
S00096190,57,4,20,7,10,9,4,3
S00096191,28,5,8,7,3,4,0,1
S00096192,47,9,4,27,1,0,1,5
S00096193,62,6,15,26,5,7,1,2
S00096194,69,4,3,22,33,3,0,4
S00096195,63,10,8,23,14,6,0,2
S00096196,64,1,15,19,21,6,0,2
S00096197,48,3,11,11,17,6,0,0
S00096198,71,9,8,32,13,4,1,4
S00096199,79,14,29,19,9,6,0,2
S00096200,30,3,4,13,6,3,0,1
S00096201,66,4,20,35,4,0,0,3
S00096202,54,8,25,10,3,6,0,2
S00096203,73,13,13,27,9,4,1,6
S00096204,67,2,7,28,14,9,4,3
S00096205,51,15,4,25,3,1,0,3
S00096206,30,8,5,11,5,1,0,0
S00096207,80,13,28,21,10,4,0,4
S00096208,49,2,3,17,21,2,0,4
S00096209,64,5,6,32,16,1,0,4
S00096210,48,0,7,15,22,2,1,1
S00096211,38,0,2,13,21,1,0,1
S00096212,45,1,8,9,22,1,2,2
S00096213,55,4,10,15,12,6,3,5
S00096214,30,0,2,9,16,1,1,1
S00096215,54,1,3,20,23,4,1,2
