health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00096088,77,35,20,13,8,1
S00096089,165,103,50,11,1,0
S00096090,104,49,34,17,2,2
S00096091,151,88,48,9,5,1
S00096092,98,48,30,18,2,0
S00096093,83,44,20,18,1,0
S00096094,118,54,41,20,3,0
S00096095,89,38,34,13,4,0
S00096096,99,55,26,16,2,0
S00096097,106,55,30,19,2,0
S00096098,129,66,42,14,7,0
S00096099,106,54,41,9,2,0
S00096100,103,55,39,9,0,0
S00096101,147,72,39,23,10,3
S00096102,55,30,22,2,1,0
S00096103,131,74,29,21,5,2
S00096104,111,71,32,7,1,0
S00096105,162,106,42,11,3,0
S00096106,100,47,34,13,2,4
S00096107,91,56,25,8,2,0
S00096108,73,20,24,19,7,3
S00096109,115,54,25,26,9,1
S00096110,120,71,32,15,0,2
S00096111,122,67,42,11,2,0
S00096112,194,138,44,11,1,0
S00096113,97,36,42,15,2,2
S00096114,145,76,53,13,3,0
S00096115,168,114,39,10,5,0
S00096116,69,33,20,11,4,1
S00096117,156,76,38,27,7,8
S00096118,185,93,68,16,7,1
S00096119,104,54,36,10,4,0
S00096120,113,59,36,15,3,0
S00096121,103,50,35,13,5,0
S00096122,146,61,52,21,11,1
S00096123,87,44,24,14,4,1
S00096124,100,51,28,17,4,0
S00096125,131,60,44,14,11,2
S00096126,80,26,25,19,9,1
S00096127,110,51,42,9,6,2
S00096128,114,55,40,18,1,0
S00096129,138,86,38,12,2,0
S00096130,78,27,31,13,7,0
S00096131,89,47,22,15,4,1
S00096132,130,74,45,10,0,1
S00096133,59,19,27,11,2,0
S00096134,102,34,42,17,9,0
S00096135,62,52,5,3,2,0
S00096136,66,30,21,11,2,2
S00096137,61,26,23,6,5,1
S00096138,90,53,24,12,0,1
S00096139,126,79,33,10,4,0
S00096140,80,48,21,8,2,1
S00096141,99,69,28,2,0,0
S00096142,169,120,43,5,1,0
S00096143,97,66,18,12,1,0
S00096144,207,152,48,5,2,0
S00096145,157,118,35,2,2,0
S00096146,106,48,30,19,8,1
S00096147,53,31,13,5,3,1
S00096148,56,26,22,5,3,0
S00096149,62,33,18,10,1,0
S00096150,92,63,19,7,2,1
S00096151,114,70,32,9,3,0
S00096152,65,35,20,9,1,0
S00096153,101,66,24,10,1,0
S00096154,83,42,24,12,5,0
S00096155,166,90,51,11,10,4
