rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00127263,84,37,5,7,0,0,0,0,0,0,29,6
S00127264,132,59,15,2,0,0,0,0,0,0,47,9
S00127265,106,31,18,7,0,0,0,0,0,0,45,5
S00127266,158,34,25,15,0,0,0,0,0,0,67,17
S00127267,248,62,41,11,0,0,0,0,0,2,120,12
S00127268,115,14,17,7,0,0,0,0,0,0,67,10
S00127269,97,24,21,2,0,0,0,0,0,3,34,13
S00127270,94,11,28,6,0,0,0,0,0,0,42,7
S00127271,123,25,8,3,0,0,0,0,0,0,81,6
S00127272,51,8,5,0,0,0,0,0,0,0,35,3
S00127273,131,30,21,9,0,0,0,0,0,0,63,8
S00127274,67,23,2,3,0,0,0,0,0,1,35,3
S00127275,94,31,4,5,0,0,0,0,0,0,49,5
S00127276,81,29,18,3,0,0,0,0,0,0,26,5
S00127277,97,38,12,8,2,0,0,1,0,0,32,4
S00127278,119,18,18,7,4,0,0,9,0,0,58,5
S00127279,64,6,16,3,1,10,0,0,0,0,27,1
S00127280,52,18,9,3,0,0,0,2,0,0,15,5
S00127281,61,30,7,4,0,0,0,0,0,0,15,5
S00127282,99,44,11,14,0,2,0,0,0,0,23,5
S00127283,79,15,10,7,0,0,0,0,0,1,42,4
S00127284,154,21,21,10,1,4,0,24,3,2,58,10
S00127285,82,12,11,8,0,0,1,1,0,0,47,2
S00127286,105,28,37,2,0,1,0,5,0,0,29,3
S00127287,108,43,22,4,0,0,0,3,0,1,35,0
S00127288,109,31,19,6,0,0,0,0,1,1,39,12
S00127289,115,61,4,19,0,0,0,0,0,0,25,6
S00127290,106,45,4,10,0,0,0,0,0,0,39,8
S00127291,84,43,6,2,0,0,0,2,0,0,28,3
S00127292,95,56,8,2,0,0,0,0,0,0,21,8
S00127293,84,30,12,11,2,0,0,0,0,0,25,4
S00127294,125,62,9,10,2,0,0,0,0,0,32,10
S00127295,207,89,31,15,3,0,0,1,0,0,47,21
S00127296,126,54,9,12,0,0,0,0,0,0,34,17
S00127297,71,37,4,2,2,0,0,0,0,0,24,2
S00127298,103,37,14,3,1,0,0,2,0,0,36,10
S00127299,60,19,5,2,1,0,0,1,0,0,29,3
S00127300,120,50,15,8,0,0,0,0,0,3,39,5
S00127301,591,139,98,10,5,0,0,9,0,2,315,13
S00127302,65,26,4,4,0,0,0,0,0,1,20,10
S00127303,70,9,13,2,0,0,0,0,0,0,45,1
S00127304,53,29,1,6,0,0,0,0,0,1,11,5
S00127305,118,20,22,2,2,0,0,7,0,0,58,7
S00127306,65,13,5,5,0,0,0,1,0,1,35,5
S00127307,83,25,12,4,1,0,0,0,0,1,33,7
S00127308,116,20,29,9,3,0,0,1,1,0,45,8
S00127309,102,21,11,9,0,0,0,8,0,0,53,0
S00127310,105,16,14,7,0,5,0,8,0,0,47,8
S00127311,59,4,11,3,1,1,0,0,1,0,35,3
S00127312,90,31,12,10,1,0,0,2,0,0,32,2
S00127313,80,13,21,6,0,0,0,5,0,0,35,0
S00127314,90,18,15,6,0,1,0,3,0,0,42,5
S00127315,141,33,17,5,0,0,0,3,0,0,72,11
S00127316,99,16,10,12,0,0,0,0,0,0,50,11
S00127317,53,31,5,8,0,0,0,0,0,0,8,1
S00127318,137,47,12,6,0,0,0,2,0,0,60,10
S00127319,64,19,5,3,0,0,0,0,0,1,29,7
S00127320,78,17,13,1,0,3,0,1,0,0,31,12
S00127321,104,28,9,4,1,0,0,4,0,0,47,11
S00127322,220,92,15,13,0,0,0,0,0,0,71,29
S00127323,64,39,8,2,0,0,0,1,0,0,9,5
S00127324,161,56,21,15,0,0,0,0,0,2,53,14
S00127327,154,88,10,5,0,0,0,0,0,1,38,12
S00127328,79,30,6,1,0,0,0,0,0,0,39,3
S00127331,133,63,6,8,0,0,0,0,0,0,48,8
S00127332,95,40,1,10,0,0,0,0,0,1,33,10
S00127333,131,25,13,5,1,0,0,0,0,0,77,10
S00127334,139,49,13,16,0,0,0,0,0,1,56,4
S00127335,105,42,15,10,0,0,0,0,0,0,28,10
S00127336,88,30,7,15,0,0,0,0,0,0,36,0
S00127337,138,51,12,24,0,0,0,0,0,0,35,16
S00127338,152,69,9,5,0,3,0,0,0,1,58,7
S00127339,92,34,14,5,0,0,0,0,0,1,30,8
S00127340,118,51,12,14,0,0,0,0,0,1,32,8
S00127341,127,34,19,6,0,0,0,0,0,0,58,10
S00127342,118,62,11,9,0,0,0,0,0,0,23,13
S00127343,168,56,11,11,0,0,0,0,0,1,75,14
S00127344,76,42,2,9,0,0,0,0,0,0,21,2
S00127345,74,20,14,4,0,0,0,0,0,0,32,4
S00127346,121,35,12,9,0,0,1,0,0,0,55,9
S00127347,121,36,17,11,0,0,0,0,0,0,47,10
S00127348,94,56,9,2,2,0,0,0,0,0,24,1
S00127349,79,46,2,0,0,0,0,0,0,1,25,5
S00127350,151,80,3,6,0,0,0,0,0,0,53,9
S00127351,85,43,0,1,0,0,0,0,0,0,35,6
S00127352,170,80,9,3,0,0,0,0,0,3,64,11
S00127353,63,32,6,9,0,0,0,0,0,0,10,6
S00127354,58,30,2,8,0,0,0,0,0,0,11,7
S00127355,95,38,2,15,0,0,0,0,0,0,31,9
