rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00001474,332,209,3,0,0,0,0,1,105,14
W00001475,189,102,0,0,0,1,0,0,75,11
W00001476,287,158,0,1,0,4,0,1,102,21
W00001477,206,143,0,1,0,1,0,0,49,12
W00001478,319,164,0,0,0,0,0,2,121,32
W00001479,362,239,0,0,0,0,0,0,96,27
W00001480,328,196,1,0,0,1,0,1,108,21
W00001481,332,190,0,0,0,3,0,1,121,17
W00001482,337,202,0,0,1,0,0,0,116,18
W00001483,323,173,0,0,1,1,0,0,127,21
W00001484,300,182,0,1,0,0,0,0,106,11
W00001485,376,214,1,0,0,3,0,0,140,18
W00001486,360,180,0,0,0,0,0,0,156,24
W00001487,320,217,0,0,0,0,0,1,87,15
W00001488,328,199,0,4,0,0,1,0,96,28
W00001489,415,276,0,1,0,1,0,1,103,33
W00001490,290,239,0,0,0,0,0,0,43,8
W00001491,151,85,0,0,0,0,0,1,51,14
W00001492,321,244,0,2,0,0,0,0,55,20
W00001493,317,204,0,2,0,5,0,0,88,18
W00001494,319,228,1,0,0,0,0,2,67,21
W00001495,325,224,0,0,0,2,1,1,64,33
W00001496,260,195,0,0,0,0,0,1,52,12
W00001497,369,268,1,0,0,0,0,0,82,18
W00001498,265,182,3,1,0,0,0,0,57,22
W00001499,314,217,1,0,0,0,0,1,79,16
W00001500,317,240,0,1,0,0,0,0,60,16
W00001501,365,264,0,0,0,0,0,0,73,28
W00001502,297,197,0,0,2,0,0,0,75,23
W00001503,252,179,0,0,0,0,0,0,54,19
W00001504,283,199,2,0,0,0,0,1,57,24
W00001505,320,231,0,0,0,0,0,3,66,20
W00001506,349,280,0,0,0,0,0,2,46,21
W00001507,304,174,0,0,0,0,0,0,96,34
W00001508,463,290,0,0,3,0,0,0,147,23
W00001509,365,261,0,0,0,0,0,0,86,18
W00001510,550,372,3,0,1,0,0,0,134,40
W00001511,312,195,0,0,0,0,0,1,90,26
W00001512,270,183,0,0,0,1,0,0,77,9
W00001513,344,229,0,0,0,0,0,5,83,27
W00001514,291,197,0,0,0,0,0,3,61,30
W00001515,419,259,3,0,0,0,0,0,140,17
W00001516,330,193,1,0,0,0,0,0,114,22
W00001517,325,233,0,0,0,0,0,0,75,17
W00001518,268,189,0,0,0,0,0,0,49,30
W00001519,282,171,1,1,0,0,0,0,90,19
W00001520,362,219,1,0,0,6,0,0,115,21
W00001521,410,264,0,0,0,0,0,0,94,52
W00001522,300,184,0,1,0,0,0,0,87,28
W00001523,267,196,0,0,0,0,0,0,60,11
W00001524,370,242,1,0,0,0,0,2,111,14
W00001525,336,234,0,1,1,2,0,0,83,15
W00001526,414,294,1,1,0,0,0,0,99,19
W00001527,351,222,2,4,0,0,3,0,96,24
W00001528,295,220,0,0,0,0,0,0,59,16
W00001530,275,211,0,0,0,0,0,0,54,10
W00001531,452,311,2,0,4,5,4,1,108,17
W00001532,317,222,0,0,1,0,0,0,84,10
W00001533,376,258,2,4,0,7,0,4,66,35
W00001534,231,155,1,0,0,1,0,0,50,24
W00001535,444,332,0,0,0,0,0,0,80,32
W00001536,204,147,1,0,0,3,0,0,42,11
W00001537,187,143,2,0,0,0,0,1,25,16
W00001538,299,199,0,0,0,0,0,3,84,13
W00001539,227,144,4,0,0,0,0,1,48,30
W00001540,304,184,0,0,0,0,0,1,90,29
W00001541,143,114,0,0,0,0,0,0,17,12
W00001542,320,227,0,0,0,5,0,0,67,21
W00001543,220,115,0,0,0,0,0,1,81,23
W00001544,206,139,0,0,0,0,0,1,43,23
W00001545,336,216,0,0,2,4,0,0,85,29
W00001546,293,198,2,0,1,0,0,0,79,13
W00001547,299,206,2,0,0,2,0,0,81,8
W00001548,264,197,5,0,0,2,0,0,40,20
W00001549,326,216,0,1,0,2,0,1,92,14
W00001550,364,276,0,0,0,1,0,0,68,19
W00001551,271,226,1,0,0,0,0,0,36,8
W00001552,281,173,0,0,0,12,0,1,86,9
W00001553,311,204,1,0,0,2,0,1,92,11
W00001554,253,198,0,0,0,0,0,0,43,12
W00001555,378,282,2,0,0,0,0,3,73,18
W00001556,264,170,1,0,0,0,0,0,64,29
W00001557,311,213,0,0,0,1,0,1,84,12
W00001558,257,147,0,0,1,0,0,0,91,18
W00001559,343,250,4,0,0,0,0,0,68,21
W00001560,277,172,0,0,0,0,0,0,83,22
W00001561,197,140,2,0,0,0,0,0,36,19
W00001562,216,139,2,0,0,0,0,1,49,25
W00001563,305,190,2,0,0,0,0,0,91,22
W00001564,336,225,1,0,0,0,0,1,65,44
W00001565,336,219,1,0,0,0,0,0,86,30
W00001566,348,246,1,0,0,0,0,0,85,16
W00001567,415,236,1,0,0,0,0,1,149,28
W00001568,361,256,0,0,1,0,0,0,77,27
W00001569,348,231,0,0,0,1,0,1,92,23
W00001570,359,264,0,0,0,1,0,1,79,14
W00001571,343,263,1,0,0,0,1,1,68,9
W00001572,205,155,0,0,0,0,0,0,44,6
W00001573,528,415,0,0,0,0,0,0,89,24
W00001574,283,212,1,0,0,0,0,1,44,25
W00001575,141,87,0,0,0,0,0,0,47,7
W00001576,332,263,0,0,2,0,0,1,43,23
W00001577,478,371,4,0,0,0,0,3,58,42
W00001578,332,221,1,0,0,0,0,0,91,19
W00001579,340,242,1,1,0,0,0,0,77,19
W00001580,390,282,1,0,0,0,0,1,82,24
W00001581,399,302,0,0,0,2,0,1,72,22
W00001582,387,279,0,0,1,0,0,0,80,27
W00001583,395,256,2,0,0,0,0,0,111,26
W00001584,365,212,1,0,0,0,0,0,116,36
W00001585,195,120,0,0,0,0,0,0,53,22
W00001586,292,173,0,0,0,1,0,0,98,20
W00001587,293,180,0,0,0,0,0,1,84,28
W00001588,306,172,2,0,0,0,0,1,94,37
W00001589,337,193,0,0,0,0,0,0,120,24
W00001590,271,167,1,0,0,0,0,1,86,16
W00001591,287,148,0,0,0,0,0,0,99,40
W00001592,311,190,1,0,0,0,0,0,101,19
W00001593,183,118,0,0,0,2,0,2,55,6
W00001594,204,139,1,0,0,1,0,0,43,20
W00001595,269,183,1,0,0,0,0,2,67,16
W00001596,291,184,0,0,1,0,0,1,76,29
W00001597,269,136,1,0,0,1,0,1,99,31
W00001598,313,221,0,0,0,0,0,0,78,14
W00001599,272,184,0,0,0,1,0,6,62,19
W00001600,244,187,1,1,0,0,0,0,43,12
W00001601,309,224,0,0,0,0,0,2,60,23
W00001602,256,170,0,0,0,0,0,0,74,12
