ethn..geo_code,ethn..total_persons,ethn..ethnic_group_white,ethn..ethnic_group_chinese,ethn..ethnic_group_irish_traveller,ethn..ethnic_group_indian,ethn..ethnic_group_pakistani,ethn..ethnic_group_bangladeshi,ethn..ethnic_group_other_asian,ethn..ethnic_group_black_caribbean,ethn..ethnic_group_black_african,ethn..ethnic_group_black_other,ethn..ethnic_group_mixed,ethn..ethnic_group_other,ethn..white_or_white_british_or_white_irish,ethn..black_or_black_british_or_black_irish,ethn..asian_or_asian_british_or_asian_irish,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
N00001713,207,207,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0
N00001714,536,531,0,0,0,0,0,1,1,0,0,3,0,531,1,1,3,0
N00001715,287,286,0,0,0,0,0,0,0,0,0,1,0,286,0,0,1,0
N00001716,303,300,1,0,1,0,0,0,0,0,0,0,1,300,0,2,0,1
N00001717,352,345,1,0,4,0,0,1,0,0,0,1,0,345,0,6,1,0
N00001718,288,286,1,0,0,0,0,0,0,0,0,1,0,286,0,1,1,0
N00001719,320,317,0,0,0,0,0,0,0,0,0,3,0,317,0,0,3,0
N00001720,289,287,2,0,0,0,0,0,0,0,0,0,0,287,0,2,0,0
N00001721,279,279,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0
N00001722,335,333,0,0,0,0,0,0,0,0,0,2,0,333,0,0,2,0
N00001723,289,288,0,0,0,0,0,0,0,0,0,1,0,288,0,0,1,0
N00001724,244,242,0,0,0,0,0,0,0,2,0,0,0,242,2,0,0,0
N00001725,260,259,0,0,0,0,0,0,0,0,0,1,0,259,0,0,1,0
N00001726,263,258,0,0,1,0,0,3,0,0,0,1,0,258,0,4,1,0
N00001727,222,217,0,0,0,0,0,0,0,0,0,5,0,217,0,0,5,0
N00001728,292,290,0,0,0,0,0,0,0,0,0,2,0,290,0,0,2,0
N00001729,312,311,0,0,0,0,0,0,0,0,0,1,0,311,0,0,1,0
N00001730,214,212,0,0,0,0,0,0,0,1,0,1,0,212,1,0,1,0
N00001731,227,226,0,0,0,0,0,0,0,1,0,0,0,226,1,0,0,0
N00001732,1089,1055,0,0,8,0,0,3,0,7,0,15,1,1055,7,11,15,1
N00001733,282,280,0,0,0,0,0,0,0,0,0,2,0,280,0,0,2,0
N00001734,287,283,0,0,3,0,0,0,0,0,0,1,0,283,0,3,1,0
