pop..soa_code,pop..total_persons,pop..males,pop..females,pop..x0_15_years,pop..x16_39_years,pop..x40_64_years,pop..x65_years
95II03S2,1764,843,922,323,518,584,339
95II04S1,4176,2011,2167,935,1493,1324,424
95II04S2,2179,1031,1149,464,719,679,317
95II05S1,1607,807,800,272,474,544,317
95II05S2,2104,1000,1104,481,588,620,415
95II06S1,1541,736,805,318,423,541,259
95II06S2,1866,918,947,410,540,616,300
95II07W1,2184,1038,1147,447,704,656,377
95II08W1,2438,1197,1242,448,766,850,374
95II09S1,2066,1007,1059,310,615,750,391
95II09S2,1374,661,712,240,417,510,207
95II10W1,2550,1231,1319,514,764,818,454
95II11W1,2556,1214,1343,446,690,927,493
95II12W1,2458,1191,1266,459,607,864,528
95II13W1,2793,1280,1514,534,795,871,593
95II14W1,2506,1189,1318,446,642,849,569
95II15S1,1933,944,989,439,541,750,203
95II15S2,1482,719,763,276,331,471,404
95II16W1,2185,1037,1147,454,657,692,382
95II17W1,2538,1266,1270,421,765,839,513
95II18W1,2389,1153,1236,453,783,693,460
95II19S1,1883,933,949,332,485,714,352
95II19S2,2104,1030,1073,397,541,720,446
95II20W1,2688,1282,1407,506,813,867,502
95II21W1,2421,1129,1291,589,774,704,354
95II22W1,2419,1127,1292,448,718,760,493
95II23W1,2307,1094,1214,489,653,799,366
95JJ01W1,2520,1270,1249,444,624,941,511
95JJ02W1,2380,1173,1207,392,570,842,576
95JJ03S1,1450,696,754,422,429,408,191
95JJ03S2,1130,557,573,294,340,372,124
95JJ04S1,1528,771,756,262,372,565,329
95JJ04S2,1577,759,818,239,351,568,419
95JJ05W1,2564,1147,1417,272,1232,609,451
95JJ06W1,2621,1264,1357,620,801,857,343
95JJ07W1,2926,1346,1580,717,939,843,427
95JJ08S1,1417,694,722,201,302,513,401
95JJ08S2,1881,893,988,325,675,581,300
95JJ09W1,2001,1003,997,293,414,699,595
95JJ10W1,3003,1504,1498,694,814,951,544
95JJ11S1,1752,860,893,309,418,670,355
95JJ11S2,1884,935,949,330,436,715,403
95JJ12W1,2859,1428,1432,700,849,884,426
95JJ13S1,2190,1066,1124,493,625,804,268
95JJ13S2,1611,804,807,251,397,548,415
95JJ14W1,2373,1195,1178,495,559,844,475
95JJ15W1,2021,1020,1000,303,533,593,592
95JJ16W1,1716,855,861,235,466,550,465
95JJ17W1,2524,1322,1201,566,625,872,461
95JJ18W1,1854,891,963,259,415,679,501
95JJ19S1,1654,791,862,224,504,436,490
95JJ19S2,1492,693,798,211,755,298,228
95JJ20S1,2291,1085,1205,449,652,849,341
95JJ20S2,1855,909,947,308,461,691,395
95JJ21W1,2580,1230,1349,378,980,752,470
95JJ22W1,2654,1270,1385,475,615,910,654
95KK01W1,2743,1384,1360,674,818,880,371
95KK02W1,2065,1010,1054,434,586,639,406
95KK03W1,2557,1292,1265,684,753,762,358
95KK04W1,2762,1347,1414,634,928,889,311
95KK05W1,2822,1447,1374,662,896,882,382
95KK06W1,1844,875,969,389,574,535,346
95KK07W1,2161,1125,1035,426,639,718,378
95KK08W1,2975,1450,1525,732,938,892,413
95KK09W1,2556,1318,1238,543,843,747,423
95KK10W1,2335,1191,1144,522,727,753,333
95KK11W1,2580,1263,1317,624,775,815,366
95KK12W1,2335,1197,1139,528,796,700,311
95KK13W1,1781,894,887,339,461,607,374
95KK14W1,2008,989,1019,383,610,662,353
95KK15W1,3133,1591,1542,797,932,997,407
95KK16W1,2370,1172,1197,459,737,690,484
95LL01S1,2588,1273,1316,597,723,907,361
95LL01S2,2684,1361,1323,658,869,863,294
95LL02S1,1811,913,898,398,581,590,242
95LL02S2,1915,1044,870,363,766,579,207
95LL03W1,3086,1555,1530,791,1055,870,370
95LL04W1,3201,1512,1688,808,947,929,517
95LL05S1,2535,1262,1273,575,687,889,384
95LL05S2,1874,949,926,392,512,655,315
95LL06S1,1794,868,925,354,577,567,296
95LL06S2,1838,903,935,346,521,544,427
95LL07W1,2528,1234,1295,575,851,715,387
95LL08S1,1735,847,888,443,578,554,160
95LL08S2,1960,1022,939,435,645,637,243
95LL09S1,1518,750,769,322,463,495,238
95LL09S2,1787,836,952,324,449,533,481
95LL10S1,3369,1652,1716,786,1073,1115,395
95LL10S2,2567,1314,1252,609,796,847,315
95LL11S1,1622,832,790,349,459,544,270
95LL11S2,2784,1434,1350,661,836,954,333
95LL12S1,3334,1627,1707,945,1134,975,280
95LL12S2,1279,616,662,340,408,371,160
95LL13S1,1439,720,718,362,421,462,194
95LL13S2,1511,730,781,396,455,461,199
95LL14S1,1265,618,647,267,406,386,206
95LL14S2,1243,631,612,262,343,382,256
95LL15S1,1687,858,830,310,501,524,352
95LL15S2,1598,800,796,246,428,468,456
95LL16S1,3730,1823,1906,884,1199,1113,534
95LL16S2,4297,2120,2176,1083,1561,1216,437
95LL17W1,2702,1290,1412,530,751,823,598
95LL18S1,2215,1045,1170,453,624,679,459
95LL18S2,1575,793,781,303,484,458,330
95LL19S1,2452,1204,1247,528,643,904,377
95LL19S2,3555,1788,1766,873,1066,1172,444
95LL20W1,2496,1266,1229,480,781,808,427
95LL21W1,4621,2329,2292,1046,1534,1362,679
95LL22W1,3961,2002,1959,1015,1340,1160,446
95LL23W1,2401,1192,1210,554,719,715,413
95LL24S1,2272,1122,1151,521,718,701,332
95LL24S2,1889,945,945,463,546,564,316
95LL25S1,3011,1497,1513,719,957,904,431
95LL25S2,1850,907,943,346,485,666,353
95LL26S1,1644,921,723,331,560,533,220
95LL26S2,2130,1022,1108,384,672,747,327
95MM01S1,1515,724,791,343,421,469,282
95MM01S2,1818,896,922,439,574,612,193
95MM01S3,1632,807,825,306,485,585,256
95MM02S1,1603,785,819,247,357,512,487
95MM02S2,1558,773,785,259,403,565,331
95MM03W1,3617,1799,1818,837,1088,1210,482
95MM04W1,2090,1037,1052,389,569,697,435
95MM05W1,2339,1167,1171,493,679,790,377
95MM06S1,1375,642,732,322,409,402,242
95MM06S2,1213,573,639,269,356,340,248
95MM07W1,2780,1322,1459,557,790,885,548
95MM08S1,1384,650,735,322,428,431,203
95MM08S2,1630,787,842,276,429,544,381
95MM09S1,1563,774,789,314,465,523,261
95MM09S2,1950,996,954,434,534,662,320
95MM10S1,1467,607,861,421,529,388,129
95MM10S2,1257,630,627,267,395,424,171
95MM11W1,2800,1295,1505,800,860,871,269
95MM12S1,1942,933,1009,468,611,616,247
95MM12S2,1203,560,643,361,416,331,95
95MM12S3,2551,1212,1340,671,885,857,138
95MM13S1,1340,662,679,252,376,444,268
95MM13S2,1343,609,734,392,423,360,168
95MM13S3,1526,741,785,392,516,445,173
95MM13S4,2578,1212,1366,614,720,898,346
95MM13S5,2266,1104,1161,570,647,871,178
95MM14S1,907,424,483,163,219,247,278
95MM14S2,1738,874,865,290,601,546,301
95MM15S1,1833,909,924,346,394,629,464
95MM15S2,2608,1302,1306,610,744,962,292
95MM16S1,2604,1289,1314,695,920,773,216
95MM16S2,3673,1868,1806,855,1037,1301,480
95MM17S1,1860,931,928,331,549,708,272
95MM17S2,1704,875,830,329,505,547,323
95MM18S1,2492,1247,1245,590,771,813,318
95MM18S2,3503,1707,1797,903,1109,1191,300
95MM19S1,1405,697,709,245,331,441,388
95MM19S2,1458,736,723,317,504,488,149
95MM20S1,1459,710,749,227,342,526,364
95MM20S2,1692,818,874,308,439,578,367
95MM21S1,1621,767,854,371,471,524,255
95MM21S2,1701,816,884,335,395,604,367
95MM22S1,1207,586,621,207,335,371,294
95MM22S2,1156,549,608,170,239,356,391
95MM23W1,2585,1392,1193,446,929,847,363
95MM24W1,2460,1155,1304,607,726,731,396
95MM25S1,1169,565,603,313,386,323,147
95MM25S2,1338,627,711,408,475,299,156
95MM25S3,2651,1165,1485,840,1021,660,130
95MM25S4,2473,1159,1314,695,832,763,183
95MM26S1,1652,781,871,384,500,538,230
95MM26S2,1325,632,693,209,349,503,264
95MM27S1,1769,993,776,191,689,594,295
95MM27S2,2455,1257,1197,177,1533,435,310
95MM28W1,2242,1226,1015,372,737,797,336
95MM29W1,3605,1842,1764,840,1234,1183,348
95MM30W1,2059,980,1079,451,585,677,346
95NN01S1,1534,739,795,322,420,450,342
95NN01S2,1830,965,866,430,487,579,334
95NN02W1,2151,1018,1133,384,569,741,457
