house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
N00000348,125,13,9,32,29,17,18,7
N00000349,149,23,27,34,35,14,14,2
N00000350,169,9,17,54,60,10,14,5
N00000351,137,14,14,47,41,7,12,2
N00000352,142,13,12,43,48,6,15,5
N00000353,140,19,13,44,40,5,16,3
N00000354,133,10,13,47,46,3,10,4
N00000355,154,18,19,53,43,4,11,6
N00000356,146,7,26,25,32,38,11,7
N00000357,452,46,70,85,85,94,46,26
N00000358,140,9,22,29,21,25,25,9
N00000359,389,83,104,63,46,31,47,15
N00000360,130,18,6,33,48,9,11,5
N00000361,148,24,21,33,34,17,19,0
N00000362,126,21,14,28,42,6,11,4
N00000363,150,12,14,52,46,3,15,8
N00000364,150,12,13,60,44,4,13,4
N00000365,86,7,15,22,24,9,8,1
N00000366,187,20,23,45,57,16,19,7
N00000367,143,20,30,34,24,13,15,7
N00000368,170,18,18,44,57,7,23,3
N00000369,141,18,13,50,41,5,11,3
N00000370,172,25,13,53,52,8,18,3
N00000371,141,13,16,35,47,10,17,3
N00000372,135,4,28,44,36,14,3,6
N00000373,178,16,33,61,43,17,6,2
N00000374,132,11,18,50,40,4,7,2
N00000375,134,27,13,56,20,4,12,2
N00000376,116,21,18,37,21,5,12,2
N00000377,119,25,15,44,16,8,6,5
N00000378,118,11,30,18,22,23,14,0
N00000379,164,8,23,46,57,16,9,5
N00000380,168,21,13,46,57,6,17,8
N00000381,333,26,47,67,100,60,25,8
N00000382,183,13,30,53,54,9,14,10
N00000383,144,14,12,30,49,13,18,8
N00000384,145,18,13,38,52,9,8,7
N00000385,135,7,13,45,48,6,13,3
N00000386,125,14,25,24,23,16,20,3
N00000387,106,22,22,18,14,15,12,3
N00000388,603,57,109,131,139,99,56,12
N00000389,156,27,10,48,47,7,14,3
N00000390,321,30,26,126,111,10,10,8
N00000391,173,14,8,65,53,7,21,5
N00000392,518,34,84,178,143,33,40,6
N00000393,178,17,22,74,44,8,12,1
